Species,Status
Nolana_plicata,0
Nolana_rostrata,0
Nolana_rupicola,0
Physalis_angulata,1
Physalis_cinerascens,0
Physalis_crassifolia,0
Physalis_heterophylla,1
Physalis_lanceifolia,1
Physalis_longifolia,0
Physalis_philadelphica,0
Physalis_pruinosa,1
Physalis_pubescens,1
Physalis_viscosa,0
Salpichroa_origanifolia,0
Solandra_grandiflora,0
Solanum_abutiloides,1
Solanum_acaule,1
Solanum_aculeastrum,1
Solanum_aculeatissimum,1
Solanum_adscendens,1
Solanum_aethiopicum,1
Solanum_agrimoniifolium,1
Solanum_allophyllum,1
Solanum_americanum,1
Solanum_amotapense,1
Solanum_andreanum,1
Solanum_anguivi,1
Solanum_aphyodendron,1
Solanum_appendiculatum,4
Solanum_argentinum,1
Solanum_asymmetriphyllum,4
Solanum_atropurpureum,1
Solanum_aviculare,1
Solanum_beaugleholei,0
Solanum_berthaultii,0
Solanum_betaceum,1
Solanum_bukasovii,0
Solanum_bulbocastanum,0
Solanum_cacosmum,0
Solanum_cajanumense,1
Solanum_campanulatum,1
Solanum_campechiense,1
Solanum_candidum,1
Solanum_capsicoides,1
Solanum_cardiophyllum,0
Solanum_carduiforme,4
Solanum_carolinense,0
Solanum_cataphractum,4
Solanum_chacoense,0
Solanum_cheesmaniae,1
Solanum_chilense,2
Solanum_chippendalei,0
Solanum_chmielewskii,1
Solanum_chomatophilum,0
Solanum_cinereum,1
Solanum_circinatum,0
Solanum_citrullifolium,1
Solanum_clarkiae,1
Solanum_clarum,0
Solanum_cleistogamum,1
Solanum_colombianum,1
Solanum_commersonii,0
Solanum_confusum,0
Solanum_cordovense,1
Solanum_corymbiflorum,0
Solanum_crinitum,1
Solanum_crispum,0
Solanum_crotonoides,4
Solanum_cunninghamii,4
Solanum_cyaneopurpureum,1
Solanum_dasyphyllum,1
Solanum_demissum,1
Solanum_dioicum,4
Solanum_diploconos,0
Solanum_diversiflorum,0
Solanum_diversifolium,0
Solanum_drymophilum,0
Solanum_dulcamara,1
Solanum_echinatum,1
Solanum_ehrenbergii,0
Solanum_erianthum,1
Solanum_etuberosum,1
Solanum_exiguum,0
Solanum_fallax,0
Solanum_felinum,1
Solanum_fraxinifolium,2
Solanum_galapagense,1
Solanum_giganteum,1
Solanum_glaucophyllum,0
Solanum_guerreroense,1
Solanum_habrochaites,2
Solanum_hibernum,0
Solanum_hindsianum,0
Solanum_hirtum,1
Solanum_hispidum,1
Solanum_hjertingii,1
Solanum_hougasii,1
Solanum_hyporhodium,1
Solanum_incanum,1
Solanum_incompletum,0
Solanum_infundibuliforme,0
Solanum_iopetalum,1
Solanum_jamaicense,1
Solanum_jamesii,0
Solanum_juglandifolium,0
Solanum_kurtzianum,0
Solanum_laciniatum,1
Solanum_lasiocarpum,1
Solanum_latiflorum,0
Solanum_laxissimum,0
Solanum_leopoldensis,4
Solanum_leptophyes,0
Solanum_lidii,1
Solanum_linnaeanum,1
Solanum_longiconicum,1
Solanum_luteoalbum,1
Solanum_lycocarpum,0
Solanum_lycopersicoides,0
Solanum_lycopersicum_var_cerasiforme,1
Solanum_macrocarpon,1
Solanum_mammosum,1
Solanum_marginatum,1
Solanum_maternum,0
Solanum_mauritianum,1
Solanum_melanospermum,1
Solanum_melissarum,0
Solanum_melongena,1
Solanum_microdontum,0
Solanum_morelliforme,1
Solanum_moscopanum,1
Solanum_muricatum,2
Solanum_myriacanthum,1
Solanum_nemophilum,1
Solanum_neorickii,1
Solanum_nigrum,1
Solanum_obliquum,0
Solanum_occultum,0
Solanum_ochranthum,0
Solanum_opacum,1
Solanum_oplocense,2
Solanum_oxycarpum,1
Solanum_oxyphyllum,0
Solanum_palinacanthum,0
Solanum_palitans,1
Solanum_palustre,1
Solanum_paniculatum,4
Solanum_pectinatum,1
Solanum_pendulum,0
Solanum_pennellii,2
Solanum_peruvianum,0
Solanum_petraeum,4
Solanum_physalifolium,1
Solanum_pimpinellifolium,1
Solanum_pinetorum,0
Solanum_pinnatisectum,0
Solanum_piurae,0
Solanum_platense,1
Solanum_polyadenium,2
Solanum_polygamum,4
Solanum_prinophyllum,1
Solanum_pseudocapsicum,1
Solanum_pseudolulo,1
Solanum_ptychanthum,1
Solanum_pyracanthon,1
Solanum_quitoense,1
Solanum_repandum,1
Solanum_retroflexum,1
Solanum_robustum,1
Solanum_roseum,1
Solanum_rostratum,1
Solanum_sandwicense,0
Solanum_santolallae,2
Solanum_sciadostylis,0
Solanum_seaforthianum,1
Solanum_sessiliflorum,1
Solanum_sibundoyense,0
Solanum_sisymbriifolium,2
Solanum_sitiens,0
Solanum_sparsipilum,0
Solanum_spegazzinii,0
Solanum_stagnale,1
Solanum_stenophyllidium,0
Solanum_stoloniferum,1
Solanum_stramoniifolium,1
Solanum_stuckertii,0
Solanum_symonii,1
Solanum_taeniotrichum,0
Solanum_tarijense,0
Solanum_tenuispinum,1
Solanum_terminale,1
Solanum_tobagense,0
Solanum_tomentosum,1
Solanum_torvum,1
Solanum_tridynamum,1
Solanum_triflorum,1
Solanum_tripartitum,1
Solanum_trisectum,1
Solanum_trizygum,1
Solanum_tuberosum,2
Solanum_tudununggae,4
Solanum_unilobum,0
Solanum_vansittartense,4
Solanum_vernei,0
Solanum_verrucosum,1
Solanum_vespertilio,1
Solanum_vestissimum,1
Solanum_viarum,1
Solanum_villosum,1
Solanum_violaceimarmoratum,0
Solanum_virginianum,1
Solanum_wallacei,1
Solanum_wendlandii,5
Symonanthus_aromaticus,4
Symonanthus_bancroftii,4
Vassobia_breviflora,1
Withania_coagulans,4
Withania_somnifera,1
Witheringia_coccoloboides,0
Witheringia_cuneata,0
Witheringia_macrantha,0
Witheringia_meiantha,0
Witheringia_mexicana,0
Witheringia_solanacea,2
