"Species","Distance.m","Angle.degrees","Tree.Height.m"
"Quercus robur",47.0961082773283,43.5438830161002,44.761142120774
"Populus tremula",32.2839726274833,32.886884593172,20.8749572058077
"Fraxinus excelsior",49.0115680545568,30.479611356277,28.8465326406022
"Populus tremula",43.1407250231132,28.9061927516013,23.8210437847612
"Ginkgo biloba",45.5459984904155,32.2224305989221,28.7067538534241
"Carpinus betulus",31.2111467495561,39.5559814048465,25.7797427573219
"Fraxinus excelsior",42.0305995130911,37.7148740214761,32.5023714088389
"Metasequoia glyptostroboides",31.918618218042,43.9337977429386,30.7522575585415
"Pinus sylvestris",41.8378670746461,30.7671553385444,24.9078791975552
"Metasequoia glyptostroboides",44.3048819759861,44.4214324338827,43.4190238502467
"Populus tremula",33.7106570415199,22.4894612724893,13.9561474576622
"Metasequoia glyptostroboides",44.3288471642882,37.6085923507344,34.1483995046584
"Ginkgo biloba",38.8612799486145,23.7011940556113,17.0598751832491
"Quercus robur",40.2974182832986,41.5249906526878,35.6834904432025
"Pinus sylvestris",39.4655588641763,42.5670967833139,36.2486360903666
"Metasequoia glyptostroboides",31.1997501179576,36.4470520627219,23.042012089501
"Fraxinus excelsior",49.7581105213612,20.4188025603071,18.523465055507
"Ginkgo biloba",39.0433466527611,35.7310830720235,28.0876210700178
"Quercus robur",37.2985610784963,30.0138944864739,21.5463960617686
"Metasequoia glyptostroboides",42.3745733685791,33.7517177441623,28.3156223418174
"Ginkgo biloba",40.405092779547,33.9635875006206,27.2162344608934
"Betula pendula",40.3485652338713,32.1756120526697,25.3848689037874
"Ginkgo biloba",47.1486219018698,26.6794721642509,23.6921248466416
"Ginkgo biloba",33.7005372857675,20.654582423158,12.7038527112299
"Carpinus betulus",30.6755190063268,26.8811376637314,15.5498832304247
"Quercus robur",31.8700994597748,23.1649143493269,13.636447101919
"Fagus sylvatica",37.50953507144,36.5860947454348,27.8429175052746
"Carpinus betulus",46.1398328468204,43.9787996921223,44.5237370123352
"Ginkgo biloba",39.7066187299788,29.9145355867222,22.8457245066284
"Alnus glutinosa",41.0378486057743,22.0238169818185,16.6002138626895
"Pinus sylvestris",33.4058833960444,35.9963867568877,24.2675764075102
"Carpinus betulus",39.501561964862,30.2981362491846,23.0811254247168
"Fagus sylvatica",43.9889151183888,27.0793361170217,22.4902497112332
"Carpinus betulus",37.8497270308435,38.5734353668522,30.1863189311964
"Alnus glutinosa",43.5288517223671,36.761984070763,32.5187188795953
