MSW93_Order	MSW93_Family	MSW93_Genus	MSW93_Species	MSW93_Binomial	1-1_ActivityCycle	5-1_AdultBodyMass_g	8-1_AdultForearmLen_mm	13-1_AdultHeadBodyLen_mm	2-1_AgeatEyeOpening_d	3-1_AgeatFirstBirth_d	18-1_BasalMetRate_mLO2hr	5-2_BasalMetRateMass_g	6-1_DietBreadth	7-1_DispersalAge_d	9-1_GestationLen_d	12-1_HabitatBreadth	22-1_HomeRange_km2	22-2_HomeRange_Indiv_km2	14-1_InterBirthInterval_d	15-1_LitterSize	16-1_LittersPerYear	17-1_MaxLongevity_m	5-3_NeonateBodyMass_g	13-2_NeonateHeadBodyLen_mm	21-1_PopulationDensity_n/km2	10-1_PopulationGrpSize	23-1_SexualMaturityAge_d	10-2_SocialGrpSize	24-1_TeatNumber	12-2_Terrestriality	6-2_TrophicLevel	25-1_WeaningAge_d	5-4_WeaningBodyMass_g	13-3_WeaningHeadBodyLen_mm	References	5-5_AdultBodyMass_g_EXT	16-2_LittersPerYear_EXT	5-6_NeonateBodyMass_g_EXT	5-7_WeaningBodyMass_g_EXT	26-1_GR_Area_km2	26-2_GR_MaxLat_dd	26-3_GR_MinLat_dd	26-4_GR_MRLat_dd	26-5_GR_MaxLong_dd	26-6_GR_MinLong_dd	26-7_GR_MRLong_dd	27-1_HuPopDen_Min_n/km2	27-2_HuPopDen_Mean_n/km2	27-3_HuPopDen_5p_n/km2	27-4_HuPopDen_Change	28-1_Precip_Mean_mm	28-2_Temp_Mean_01degC	30-1_AET_Mean_mm	30-2_PET_Mean_mm
Chiroptera	Pteropodidae	Acerodon	mackloti	Acerodon mackloti	-999	464	145.49	-999	-999	-999	-999	-999	1	-999	-999	1	-999	-999	-999	0.98	-999	-999	-999	-999	-999	400	-999	-999	-999	2	1	-999	-999	-999	79;1297;1386;1621;1658;2017;2143;2151;2622;2655;3023	-999	-999	-999	-999	74771	-8.06	-10.37	-9.22	127.3	115.83	121.57	23	107.08	23	0.08	204.54	243.2	-999	-999
Carnivora	Felidae	Acinonyx	jubatus	Acinonyx jubatus	3	50500	-999	1488.93	9.03	1217.27	17115	48900	1	464.99	92.24	1	89.2	80.3	547.5	2.99	-999	228	442	250	0.01	-999	636.19	-999	12	1	3	88.63	-999	-999	367;542;543;730;1052;1113;1297;1573;1822;2655	-999	0.9	-999	-999	10586307	37.72	-29.22	4.24	60.82	-14.91	22.95	0	19.88	0	0.11	51.26	230.83	595.06	1499.04
Rodentia	Muridae	Acomys	cahirinus	Acomys cahirinus	1	41.2	-999	-999	7	103	-999	-999	-999	-999	38.54	-999	8.86E-04	7.79E-04	34	2.43	7.6	60	5.49	42.99	2330	-999	44.98	-999	-999	-999	-999	14	12.3	-999	456;543;771;1244;1297;1542;2593;2655;2978	-999	-999	-999	-999	16751936	38.08	1.03	19.56	61.47	-17.53	21.97	0	24.33	0	0.11	18.25	239.4	243.77	1348.26
Rodentia	Muridae	Acomys	cilicicus	Acomys cilicicus	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	404	37.01	36.79	36.9	34.73	34.5	34.62	92	93.5	92	0.14	48.02	154.1	362	1241.33
Rodentia	Muridae	Acomys	cinerasceus	Acomys cinerasceus	-999	-999	-999	85.23	8	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1399	19.2	-999	-999	-999	2425771	15.81	2.25	9.03	36.14	-2.82	16.66	0	28.64	2	0.1	63.74	260.72	728.76	1644.6
Rodentia	Muridae	Acomys	ignitus	Acomys ignitus	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	156582	-0.54	-5.8	-3.17	40.81	36.26	38.54	2	76.82	4	0.16	64.98	239.82	941.97	1662.28
Rodentia	Muridae	Acomys	kempi	Acomys kempi	-999	22	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2655	-999	-999	-999	-999	358018	4.33	-4.7	-0.18	44.16	38.34	41.25	1	19.54	1	0.07	42.35	271.57	622.27	1739.37
Rodentia	Muridae	Acomys	louisae	Acomys louisae	-999	20.2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2655	-999	-999	-999	-999	320805	11.78	5.8	8.79	50.56	42.74	46.65	1	9.89	3	0.06	14.54	248.35	232.32	1758.07
Rodentia	Muridae	Acomys	minous	Acomys minous	-999	62.5	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2655	-999	-999	-999	-999	8191	35.69	34.92	35.31	26.31	23.52	24.91	0	58.49	0	0.02	51.8	163.8	-999	-999
Rodentia	Muridae	Acomys	mullah	Acomys mullah	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	152076	11.42	7.63	9.52	46.16	41.76	43.96	4	24.68	6	0.09	32.6	231.82	506.1	1706.27
Rodentia	Muridae	Acomys	nesiotes	Acomys nesiotes	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	9294	35.7	34.56	35.13	34.59	32.27	33.43	43	72.41	43	0.09	40.19	183.55	-999	-999
Rodentia	Muridae	Acomys	percivali	Acomys percivali	-999	22	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2655	-999	-999	-999	-999	686807	6.29	-1.77	2.25	42.49	32.11	37.3	1	29.12	1	0.08	54.73	240.95	825.98	1524.06
Rodentia	Muridae	Acomys	russatus	Acomys russatus	3	42.4	-999	111.08	-999	-999	-999	-999	-999	-999	-999	-999	4.93E-04	4.32E-04	-999	2.49	-999	-999	-999	-999	3430	-999	-999	-999	5	-999	-999	-999	-999	-999	1297;1542;1765;2593;2655;2978	-999	-999	-999	-999	800321	33.09	12.59	22.84	48.41	30.59	39.5	0	104.38	1	0.18	9.2	214.39	140.58	1406.5
Rodentia	Muridae	Acomys	spinosissimus	Acomys spinosissimus	-999	26.5	-999	-999	-999	-999	44.12	27.02	-999	-999	-999	-999	-999	-999	-999	2.71	-999	-999	-999	-999	204	-999	-999	-999	-999	-999	-999	-999	-999	-999	730;1297;1798;1822;2655	-999	-999	-999	-999	2826979	-2.87	-27.3	-15.08	40.84	23.93	32.38	0	30.43	2	0.16	73.43	218.6	827.26	1462.67
Rodentia	Muridae	Acomys	subspinosus	Acomys subspinosus	1	21.9	-999	-999	-999	-999	83.43	32.25	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	3540	-999	-999	-999	-999	-999	-999	-999	-999	-999	730;1822;2442;2655	-999	-999	-999	-999	126596	-30.84	-34.83	-32.84	24.78	17.84	21.31	0	47.95	1	0.08	30.22	155.89	433.76	1135.82
Rodentia	Muridae	Acomys	wilsoni	Acomys wilsoni	-999	18.5	-999	80.21	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2.29	7.9	-999	3.5	39.99	-999	-999	-999	-999	-999	-999	-999	-999	10	-999	1297;1399;2655	-999	-999	-999	-999	1322638	11.98	-6.04	2.96	51.41	31.01	41.21	1	30.65	1	0.09	46.08	251.31	659.51	1664.72
Rodentia	Octodontidae	Aconaemys	fuscus	Aconaemys fuscus	2	130	-999	-999	-999	-999	120.96	112	2	-999	-999	2	-999	-999	-999	3.07	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	1	-999	-999	-999	890;1297;1822;2151;2242;2655	-999	-999	-999	-999	112645	-33.02	-41.44	-37.23	-69.42	-73.45	-71.43	1	46.61	2	0.07	67.68	59.96	544.68	931.07
Rodentia	Octodontidae	Aconaemys	sagei	Aconaemys sagei	3	96.5	-999	-999	-999	-999	-999	-999	-999	-999	-999	2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	-999	-999	-999	-999	890;2151;2655	-999	-999	-999	-999	10262	-38.66	-40.15	-39.41	-71.09	-73.04	-72.06	2	20.25	2	0.11	91.85	83.77	703.44	903.46
Diprotodontia	Acrobatidae	Acrobates	pygmaeus	Acrobates pygmaeus	-999	13.9	-999	-999	65	212.91	14938	14	3	-999	-999	-999	6.00E-03	-999	183	2.8	2	86.4	0.01	-999	900	-999	246.81	25	4	-999	2	97.5	3.45	-999	543;955;1297;1412;1466;1760;1789;1822;1848;2484;2644;2655;2880;2966;2967;2969	-999	-999	-999	-999	1691399	-10.69	-39.13	-24.91	153.63	138.09	145.86	0	12.18	0	0.04	61.57	185.7	673.13	1288.68
Artiodactyla	Bovidae	Addax	nasomaculatus	Addax nasomaculatus	1	94700	-999	-999	-999	1066.86	-999	-999	5	-999	262.74	1	-999	-999	360	1	-999	308.04	5650	-999	0.06	61.3	-999	12.62	4	1	1	-999	-999	-999	511;543;899;1297;1525;1848;2655;2693	-999	1.12	-999	-999	1168709	26.45	14.6	20.52	32.63	-16.77	7.93	0	1.49	0	0.08	5.51	264.48	130.78	1382.39
Rodentia	Muridae	Aepeomys	fuscatus	Aepeomys fuscatus	-999	49.5	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2655	-999	-999	-999	-999	79798	8.61	1.67	5.14	-73.92	-77.27	-75.6	6	82.11	10	0.09	192.38	201.2	1516.71	1597.12
Rodentia	Muridae	Aepeomys	lugens	Aepeomys lugens	-999	37	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	-999	-999	-999	-999	2151;2655	-999	-999	-999	-999	83652	9.49	1.39	5.44	-69.76	-76.35	-73.05	2	76.3	5	0.09	104.03	191.5	1406.36	1535.31
Artiodactyla	Bovidae	Aepyceros	melampus	Aepyceros melampus	3	52300	-999	1419.99	-999	730	-999	-999	2	-999	196.74	1	1.99	2.18	365	1	-999	213	5240	-999	13	-999	394.41	15.25	4	1	1	150	14600	-999	543;730;854;869;1297;1525;1573;1763;1848;2338;2620;2629;2655;2693;3057	-999	1.11	-999	-999	3926869	2.58	-28.42	-12.91	40.84	11.71	26.27	0	37.6	1	0.15	73.05	216.36	841.64	1480.32
Diprotodontia	Potoroidae	Aepyprymnus	rufescens	Aepyprymnus rufescens	1	2800	-999	-999	-999	319.37	1111.23	2845	-999	-999	22.89	-999	-999	-999	117	1	3	96	-999	-999	40	-999	294.64	-999	-999	-999	-999	163.99	-999	-999	543;955;1297;1412;1760;1822;2655	-999	-999	-999	-999	641275	-15.85	-36.56	-26.2	153.63	143.95	148.79	0	8.87	0	0.06	69.59	194.53	812.51	1432.31
Rodentia	Sciuridae	Aeretes	melanopterus	Aeretes melanopterus	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	80789	40.21	30.62	35.41	116.38	101.59	108.99	6	128.61	10	0.06	65.15	75.27	662.48	826.29
Rodentia	Sciuridae	Aeromys	tephromelas	Aeromys tephromelas	1	1190	-999	381.04	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1.07	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1971;2152;2655;2844	-999	-999	-999	-999	283379	7.03	-1.85	2.59	117.88	98	107.94	2	96.45	4	0.17	239.02	246.03	1675.18	1753.56
Rodentia	Sciuridae	Aeromys	thomasi	Aeromys thomasi	1	1430	-999	340.49	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2152;2655	-999	-999	-999	-999	122622	6.49	-1.08	2.7	117.84	110.02	113.93	1	18.59	2	0.2	285.05	243.11	1689.44	1711.46
Chiroptera	Pteropodidae	Aethalops	alecto	Aethalops alecto	-999	15	45.99	-999	-999	-999	-999	-999	-999	-999	-999	1	-999	-999	-999	0.99	-999	-999	-999	-999	-999	-999	-999	-999	-999	2	-999	-999	-999	-999	396;1343;1621;1658;2017;2151;2622;2655	-999	-999	-999	-999	131582	6.4	-8.96	-1.27	117.13	99.87	108.5	3	236.54	5	0.14	254.07	239.57	1738.43	1828.87
Rodentia	Muridae	Aethomys	bocagei	Aethomys bocagei	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	133884	-7.75	-13	-10.38	15.86	12.98	14.42	5	40.77	5	0.15	82.98	217.57	971.52	1543.16
Rodentia	Muridae	Aethomys	chrysophilus	Aethomys chrysophilus	-999	82.3	-999	141.89	11.25	138	-999	-999	-999	-999	26.2	-999	-999	-999	-999	3.09	-999	-999	4.44	-999	66.1	-999	84.95	-999	-999	-999	-999	24.73	31	-999	456;475;608;730;1244;1297;1798;2655;3054	-999	-999	-999	-999	5508479	-0.06	-33.43	-16.74	40.84	11.71	26.27	0	27.39	1	0.14	66.56	210.53	756.84	1442.8
Rodentia	Muridae	Aethomys	granti	Aethomys granti	-999	40	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2655	-999	-999	-999	-999	141399	-30.23	-32.92	-31.57	25.64	19.35	22.49	0	1.8	0	0.09	19.65	157.45	329.72	1018.06
Rodentia	Muridae	Aethomys	hindei	Aethomys hindei	-999	141	-999	-999	-999	-999	-999	-999	-999	-999	24.69	-999	6.17E-04	5.51E-04	-999	2.05	-999	-999	-999	-999	2210	-999	56.68	-999	-999	-999	-999	-999	-999	-999	456;730;1297;2175;2655	-999	-999	-999	-999	2209180	10.07	-4.58	2.74	40.54	11.65	26.09	0	29.39	1	0.09	101.33	242.37	1118.11	1603
Rodentia	Muridae	Aethomys	kaiseri	Aethomys kaiseri	-999	90	-999	-999	-999	-999	-999	-999	-999	-999	27	-999	-999	-999	-999	2.91	-999	-999	6.1	-999	-999	-999	-999	-999	-999	-999	-999	25.99	39.7	-999	1297;2655	-999	-999	-999	-999	2751634	-0.54	-17.04	-8.79	36.88	16.11	26.49	1	26.34	2	0.2	97	218.7	948.67	1485.93
Rodentia	Muridae	Aethomys	namaquensis	Aethomys namaquensis	1	57.2	-999	-999	12	-999	48.13	57.3	-999	-999	21.99	-999	-999	-999	-999	3.5	2	-999	2.5	-999	1380	-999	-999	-999	-999	-999	-999	27.46	12.5	-999	456;730;1297;1798;1822;1974;1975;2121;2442;2655	-999	-999	-999	-999	3334237	-13.4	-32.92	-23.16	38.07	13.96	26.01	0	19.5	0	0.12	49.06	201.75	624.94	1360.42
Rodentia	Muridae	Aethomys	nyikae	Aethomys nyikae	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	3.57	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1297	-999	-999	-999	-999	1442818	-6.9	-19.85	-13.37	35.41	16.48	25.94	1	16.83	2	0.18	100.31	221.21	910.84	1451.97
Rodentia	Muridae	Aethomys	silindensis	Aethomys silindensis	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	77194	-17.4	-21.31	-19.36	34.43	31.74	33.09	5	28.27	5	0.2	89	220.69	932.92	1411.12
Rodentia	Muridae	Aethomys	stannarius	Aethomys stannarius	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	285523	12.57	7.47	10.02	13.87	7.55	10.71	5	79.16	8	0.12	88.53	258.7	842.93	1658.52
Rodentia	Muridae	Aethomys	thomasi	Aethomys thomasi	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	189060	-9.48	-15.65	-12.57	18	13.42	15.71	1	16.37	1	0.13	98.49	201.86	923.19	1345.29
Rodentia	Agoutidae	Agouti	paca	Agouti paca	1	8180	-999	650.78	0	-999	2746.8	9156	5	-999	116.24	2	-999	-999	191	1	1.75	192	674	-999	49	-999	309.61	1	8	1	1	82.48	-999	-999	543;730;905;1297;1627;1822;2151;2252;2431;2655	-999	-999	-999	-999	12381980	22.4	-30.12	-3.86	-36.57	-99.6	-68.08	0	23.54	0	0.12	154.72	239.8	1319.82	1532.39
Rodentia	Agoutidae	Agouti	taczanowskii	Agouti taczanowskii	1	9000	-999	-999	-999	-999	-999	-999	4	-999	-999	2	-999	-999	-999	1	2	-999	-999	-999	-999	-999	-999	-999	8	1	1	-999	-999	-999	511;2151;2655	-999	-999	-999	-999	392200	9.8	-14.53	-2.36	-68.94	-80.13	-74.54	1	48.14	2	0.1	157.32	191.81	1318.39	1498.95
Carnivora	Ursidae	Ailuropoda	melanoleuca	Ailuropoda melanoleuca	2	118000	-999	1353.7	44	-999	-999	-999	3	539.99	135	1	3.56	3.17	638.75	1.7	-999	360	104	-999	0.18	-999	2100.69	-999	-999	1	1	177.81	22000	-999	543;679;730;1113;1297;1573;2655	-999	0.84	-999	-999	36207	34.01	27.51	30.76	108.79	100.77	104.78	7	103.55	8	0.05	101.81	65.51	757.25	907.75
Diprotodontia	Phalangeridae	Ailurops	ursinus	Ailurops ursinus	1	10000	-999	-999	-999	-999	-999	-999	1	-999	-999	1	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2	1	-999	-999	-999	1760;2655	-999	-999	-999	-999	175900	1.75	-5.7	-1.97	125.29	118.75	122.02	17	93.46	17	0.08	229.47	215.95	1812.6	1909.15
Carnivora	Ursidae	Ailurus	fulgens	Ailurus fulgens	2	5170	-999	583.4	18	760.41	838.36	5345	3	270	131.5	1	1.44	1.28	365	2	1	168	104	-999	-999	-999	518.48	-999	4	1	1	136.87	-999	-999	367;543;1113;1297;1573;1822;2655	-999	-999	-999	-999	1075371	35.36	21.41	28.38	106.15	82.62	94.38	1	51.8	2	0.07	131.93	44.73	828.72	1043.82
Rodentia	Muridae	Akodon	aerosus	Akodon aerosus	-999	60	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2655	-999	-999	-999	-999	160800	-1.49	-16.2	-8.85	-67.65	-78.17	-72.91	1	10.09	1	0.11	200.29	194.43	1341.01	1442.62
Rodentia	Muridae	Akodon	affinis	Akodon affinis	2	24.9	-999	-999	-999	-999	-999	-999	4	-999	-999	1	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	2	-999	-999	-999	2151;2655	-999	-999	-999	-999	55130	10.29	0.89	5.59	-75.01	-77.82	-76.41	7	101.85	11	0.11	202.1	210.03	1499.05	1626.2
Rodentia	Muridae	Akodon	albiventer	Akodon albiventer	3	26	-999	-999	-999	-999	46.5	31	1	-999	-999	1	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	3	-999	-999	-999	890;1822;2655	-999	-999	-999	-999	425856	-15.25	-26.78	-21.02	-64.2	-71.33	-67.76	0	13.16	0	0.06	43.02	31.73	511.33	1260.37
Rodentia	Muridae	Akodon	azarae	Akodon azarae	2	25.3	-999	-999	-999	-999	39.95	23.5	4	-999	23.06	2	-999	-999	-999	4.59	1.25	-999	-999	-999	7790	-999	53.86	-999	-999	1	2	14.36	-999	-999	730;890;896;1297;1822;1849;2034;2655	-999	-999	-999	-999	1071237	-20.62	-38.69	-29.65	-53.53	-67.94	-60.74	0	27.8	1	0.07	76.67	177.53	877.56	1078.08
Rodentia	Muridae	Akodon	bogotensis	Akodon bogotensis	-999	13	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2655	-999	-999	-999	-999	117249	10.03	2.08	6.06	-69.82	-75.42	-72.62	2	73.76	5	0.09	109.88	201.66	1394.45	1555.13
Rodentia	Muridae	Akodon	boliviensis	Akodon boliviensis	2	27.5	-999	-999	-999	-999	-999	-999	3	-999	-999	1	-999	-999	-999	4.86	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	2	-999	-999	-999	890;1297;2655	-999	-999	-999	-999	530196	-12.06	-29.36	-20.71	-63.19	-75.04	-69.11	0	16.56	1	0.08	80.06	97.74	783.36	1337.88
Rodentia	Muridae	Akodon	budini	Akodon budini	-999	26.9	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2655	-999	-999	-999	-999	20316	-22.15	-24.75	-23.45	-65.46	-66.7	-66.08	0	3.67	0	0.15	40.9	-11.27	582.44	1257.52
