"season","season_week","year_week","week_start_date","weekID","monthID","year","denv1_cases","denv2_cases","denv3_cases","denv4_cases","other_positive_cases","additional_cases","total_cases","NDVI.18.45.66.14.","NDVI.18.50..66.14.","satprecip","tmin","tmax","prec","dtr","tavg","nino12","nino34","soi","pop","adjpop"
"1990/1991",36,1,"1/1/1991",199101,199101,1991,0,2,0,1,18,0,21,0.1673143,0.1404667,15.85,295.8,299.3,26.33,1.885714286,297.8285714,23.86,29,1,2244100.111,2244100.111
"1990/1991",37,2,"1/8/1991",199102,199101,1991,0,1,0,3,17,0,21,0.1376167,0.1004667,0,296.1,299.3,27.4,2,297.6571429,23.86,29,1,2244100.111,2244602.652
"1990/1991",38,3,"1/15/1991",199103,199101,1991,0,0,0,1,25,0,26,0.2179,0.2935667,0,296,300.3,0.7,2.557142857,298.15,23.86,29,1,2244100.111,2245105.192
"1990/1991",39,4,"1/22/1991",199104,199101,1991,0,0,0,0,34,0,34,0.2027571,0.3093333,0,295,300.1,5.7,2.771428571,298.2285714,23.86,29,1,2244100.111,2245607.733
"1990/1991",40,5,"1/29/1991",199105,199101,1991,0,3,0,0,34,0,37,0.1956,0.246425,0,295,299.7,19.69,2.428571429,297.9285714,23.86,29,1,2244100.111,2246110.274
"1990/1991",41,6,"2/5/1991",199106,199102,1991,0,0,0,2,15,0,17,0.2258,0.2285667,18.05,294.1,300.2,21.4,3.2,297.1142857,25.97,28.73,0.4,2244100.111,2246612.814
"1990/1991",42,7,"2/12/1991",199107,199102,1991,1,1,0,0,17,0,19,0.2673429,0.2211,0,295.8,300.1,26.2,2.571428571,297.6142857,25.97,28.73,0.4,2244100.111,2247115.355
"1990/1991",43,8,"2/19/1991",199108,199102,1991,1,3,0,0,21,0,25,0.1194,0.2094,31.79,295.8,299.8,23.8,2.114285714,297.8285714,25.97,28.73,0.4,2244100.111,2247617.895
"1990/1991",44,9,"2/26/1991",199109,199102,1991,0,0,0,1,17,0,18,0.1914333,0.2086,0,296.4,300.3,8.3,2.242857143,298.0785714,25.97,28.73,0.4,2244100.111,2248120.436
"1990/1991",45,10,"3/5/1991",199110,199103,1991,1,1,0,1,18,0,21,0.2163571,0.2641,0,295.7,300.1,13.37,2.728571429,297.6357143,26.51,28.64,-1.1,2244100.111,2248622.976
"1990/1991",46,11,"3/12/1991",199111,199103,1991,0,0,0,0,17,0,17,0.2405429,0.188974635152856,0,295.4,300.4,11.1,2.542857143,297.6142857,26.51,28.64,-1.1,2244100.111,2249125.517
"1990/1991",47,12,"3/19/1991",199112,199103,1991,0,0,0,0,17,0,17,0.1593,0.1784,0,295.7,301,21.26,2.757142857,297.6928571,26.51,28.64,-1.1,2244100.111,2249628.058
"1990/1991",48,13,"3/26/1991",199113,199103,1991,1,2,0,1,12,0,16,0.2473857,0.223575,12.92,295.4,299.4,20.9,2.285714286,297.1857143,26.51,28.64,-1.1,2244100.111,2250130.598
"1990/1991",49,14,"4/2/1991",199114,199104,1991,0,2,0,1,13,0,16,0.2219714,0.216825,6,295.9,299.2,19.78,2.628571429,297.6571429,24.99,29.13,-1,2244100.111,2250633.139
"1990/1991",50,15,"4/9/1991",199115,199104,1991,0,0,0,1,14,0,15,0.1773667,0.2763,44.57,296,298.9,21.9,2.014285714,297.3928571,24.99,29.13,-1,2244100.111,2251135.679
"1990/1991",51,16,"4/16/1991",199116,199104,1991,1,0,0,0,22,0,23,0.2061667,0.1024,32.72,296.7,299.6,19.7,2.3,298.2357143,24.99,29.13,-1,2244100.111,2251638.22
"1990/1991",52,17,"4/23/1991",199117,199104,1991,0,2,0,0,14,0,16,0.2249429,0.18845,0,297.1,301,8.38,2.8,299.0714286,24.99,29.13,-1,2244100.111,2252140.761
"1991/1992",1,18,"4/30/1991",199118,199104,1991,0,1,0,0,16,0,17,0.1761714,0.160575,35.38,297.2,300.9,20.6,2.414285714,298.7214286,24.99,29.13,-1,2244100.111,2252643.301
"1991/1992",2,19,"5/7/1991",199119,199105,1991,0,0,0,0,12,0,12,0.1111857,0.180175,4.16,296.6,300.1,35.37,2.5,298.4071429,24.37,29.42,-1.7,2244100.111,2253145.842
"1991/1992",3,20,"5/14/1991",199120,199105,1991,1,2,0,0,14,0,17,0.0964,0.10455,51.16,297,300.4,59.3,1.857142857,298.4571429,24.37,29.42,-1.7,2244100.111,2253648.382
"1991/1992",4,21,"5/21/1991",199121,199105,1991,0,2,0,0,8,0,10,0.1356,0.1335667,55.37,297.3,301.1,43.4,2.142857143,298.8857143,24.37,29.42,-1.7,2244100.111,2254150.923
"1991/1992",5,22,"5/28/1991",199122,199105,1991,0,1,0,0,14,0,15,0.2571,0.1594667,8.08,297.4,301.6,5,2.871428571,299.75,24.37,29.42,-1.7,2244100.111,2254653.464
"1991/1992",6,23,"6/4/1991",199123,199106,1991,2,1,0,1,15,0,19,0.1659286,0.087,6.09,298.4,301.8,5.82,2.4,300.0714286,23.05,29.35,-0.2,2244100.111,2255156.004
"1991/1992",7,24,"6/11/1991",199124,199106,1991,0,2,0,4,15,0,21,0.1739714,0.1564667,44.25,298.4,301.9,17,2.171428571,299.9714286,23.05,29.35,-0.2,2244100.111,2255658.545
"1991/1992",8,25,"6/18/1991",199125,199106,1991,0,2,0,2,10,0,14,0.1306429,0.09235,73.76,297.7,302.5,37.8,2.042857143,299.4785714,23.05,29.35,-0.2,2244100.111,2256161.085
"1991/1992",9,26,"6/25/1991",199126,199106,1991,4,0,0,1,13,0,18,0.1582429,0.122,26.7,297.4,302.4,51.99,2.142857143,299.3857143,23.05,29.35,-0.2,2244100.111,2256663.626
"1991/1992",10,27,"7/2/1991",199127,199107,1991,0,0,0,4,9,0,13,0.1981571,0.1779333,6.13,297.9,302.1,18.7,2.428571429,300.1714286,22.05,29.26,0,2244100.111,2257166.167
"1991/1992",11,28,"7/9/1991",199128,199107,1991,0,0,0,1,13,0,14,0.1679167,0.134571130002333,29.67,298.6,302.2,23.6,2.428571429,300.3428571,22.05,29.26,0,2244100.111,2257668.707
"1991/1992",12,29,"7/16/1991",199129,199107,1991,0,0,0,0,17,1,18,0.1166429,0.07733333,56.58,298.2,302.1,27.4,2.242857143,299.9785714,22.05,29.26,0,2244100.111,2258171.248
"1991/1992",13,30,"7/23/1991",199130,199107,1991,0,0,0,0,23,0,23,0.1290667,0.00805,48.41,298.3,302,34.39,2.3,299.9642857,22.05,29.26,0,2244100.111,2258673.788
"1991/1992",14,31,"7/30/1991",199131,199107,1991,0,1,0,1,23,0,25,0.1593286,0.127161127294957,13.29,298.1,301.8,31.5,2.242857143,299.8642857,22.05,29.26,0,2244100.111,2259176.329
"1991/1992",15,32,"8/6/1991",199132,199108,1991,8,3,0,1,50,0,62,0.2093571,0.1124,0,298.7,302.8,20.4,2.185714286,300.65,21.08,29.25,-0.7,2244100.111,2259678.87
"1991/1992",16,33,"8/13/1991",199133,199108,1991,3,4,0,0,53,0,60,0.1567,0.127419741279883,51.88,298.3,302.6,25.47,2.4,300.3857143,21.08,29.25,-0.7,2244100.111,2260181.41
"1991/1992",17,34,"8/20/1991",199134,199108,1991,6,9,0,1,60,0,76,0.1437286,0.09814,55.2,298.6,302.3,23.8,2.371428571,300.2,21.08,29.25,-0.7,2244100.111,2260683.951
"1991/1992",18,35,"8/27/1991",199135,199108,1991,7,0,0,4,55,0,66,0.1864,0.05705,65.9,298.4,302.3,42.33,2.128571429,300.15,21.08,29.25,-0.7,2244100.111,2261186.491
"1991/1992",19,36,"9/3/1991",199136,199109,1991,5,4,0,0,55,0,64,0.1624143,0.091675,33.56,298.7,302.8,11.4,3.042857143,300.6357143,20.75,29.19,-2.5,2244100.111,2261689.032
"1991/1992",20,37,"9/10/1991",199137,199109,1991,1,2,0,2,63,0,68,0.1446429,0.1598333,29.53,298.8,303,28.8,2.457142857,300.6,20.75,29.19,-2.5,2244100.111,2262191.573
"1991/1992",21,38,"9/17/1991",199138,199109,1991,1,2,0,0,86,0,89,0.1688714,0.1527333,73.55,298.2,302.4,77.5,2.071428571,300.05,20.75,29.19,-2.5,2244100.111,2262694.113
"1991/1992",22,39,"9/24/1991",199139,199109,1991,7,6,0,1,78,0,92,0.2181429,0.1489,31.68,298.3,301.6,60,2.042857143,299.6928571,20.75,29.19,-2.5,2244100.111,2263196.654
"1991/1992",23,40,"10/1/1991",199140,199110,1991,1,8,0,2,129,0,140,0.1955571,0.16672,32.1,297.6,302,55.1,2.257142857,299.6714286,21.13,29.44,-1.7,2244100.111,2263699.194
"1991/1992",24,41,"10/8/1991",199141,199110,1991,0,4,0,0,110,2,116,0.1681667,0.093,3.29,298.1,302,31.19,2.3,299.9214286,21.13,29.44,-1.7,2244100.111,2264201.735
"1991/1992",25,42,"10/15/1991",199142,199110,1991,7,4,0,4,127,0,142,0.1070286,0.12886,50.24,298,302,12.6,2.814285714,299.9928571,21.13,29.44,-1.7,2244100.111,2264704.276
"1991/1992",26,43,"10/22/1991",199143,199110,1991,14,3,0,2,108,2,129,0.1998714,0.1186,72.61,298.1,302.4,26.83,3.042857143,299.9928571,21.13,29.44,-1.7,2244100.111,2265206.816
"1991/1992",27,44,"10/29/1991",199144,199110,1991,6,3,0,4,126,1,140,0.1213167,0.09665,42.92,297.3,302.6,74.83,2.9,299.2785714,21.13,29.44,-1.7,2244100.111,2265709.357
"1991/1992",28,45,"11/5/1991",199145,199111,1991,10,1,0,3,126,0,140,0.1193857,0.05475,78.73,297.4,301,72.7,1.971428571,298.7857143,22.18,29.45,-1.1,2244100.111,2266211.897
"1991/1992",29,46,"11/12/1991",199146,199111,1991,5,6,0,5,111,0,127,0.1980571,0.1114,0,297.1,300.8,15.1,2.271428571,298.7071429,22.18,29.45,-1.1,2244100.111,2266714.438
"1991/1992",30,47,"11/19/1991",199147,199111,1991,8,5,0,4,111,1,129,0.1796429,0.028425,35.34,296.9,301.1,78.43,2.028571429,298.5,22.18,29.45,-1.1,2244100.111,2267216.979
"1991/1992",31,48,"11/26/1991",199148,199111,1991,11,3,0,6,148,1,169,0.1661857,0.1519,0,297.7,300.5,35.1,1.8,298.8428571,22.18,29.45,-1.1,2244100.111,2267719.519
"1991/1992",32,49,"12/3/1991",199149,199112,1991,3,3,0,3,131,1,141,0.1344571,0.14025,0,297.3,300.2,26.8,2.014285714,298.5928571,23.43,29.45,-2.9,2244100.111,2268222.06
"1991/1992",33,50,"12/10/1991",199150,199112,1991,4,5,0,4,95,0,108,0.2289429,0.2128,0,296.6,299.6,8.76,2.071428571,298.1357143,23.43,29.45,-2.9,2244100.111,2268724.6
"1991/1992",34,51,"12/17/1991",199151,199112,1991,1,2,0,2,69,4,78,0.04045714,0.04613333,0,294.3,299.2,19.3,2.214285714,296.5071429,23.43,29.45,-2.9,2244100.111,2269227.141
"1991/1992",35,52,"12/24/1991",199152,199112,1991,0,1,0,3,64,2,70,0.1297556,0.1237,0,293.9,299,4.8,2.528571429,297.1357143,23.43,29.45,-2.9,2244100.111,2269729.682
"1991/1992",36,1,"1/1/1992",199201,199201,1992,0,1,0,1,63,16,81,0.1813667,0.1578667,203.97,296.1,300.4,11.8,2.542857143,298.4142857,24.83,29.06,-4.7,2270232.222,2270232.222
"1991/1992",37,2,"1/8/1992",199202,199201,1992,2,2,0,5,89,6,104,0.1127857,0.073575,0,295.6,299.5,19.3,1.871428571,297.1785714,24.83,29.06,-4.7,2270232.222,2270734.763
"1991/1992",38,3,"1/15/1992",199203,199201,1992,4,2,0,1,79,4,90,0.1994143,0.2299,0,295.5,299.5,5.11,2.542857143,297.4142857,24.83,29.06,-4.7,2270232.222,2271237.303
"1991/1992",39,4,"1/22/1992",199204,199201,1992,1,1,0,0,83,0,85,0.1688714,0.13105,0,296.3,299,7.2,2.214285714,297.55,24.83,29.06,-4.7,2270232.222,2271739.844
"1991/1992",40,5,"1/29/1992",199205,199201,1992,0,0,0,2,51,2,55,0.1919286,0.0483,0,294.5,300.7,24.5,3.371428571,296.9714286,24.83,29.06,-4.7,2270232.222,2272242.385
"1991/1992",41,6,"2/5/1992",199206,199202,1992,0,0,0,3,43,7,53,0.1879571,0.0846,0,295.8,300.2,12.1,2.314285714,298.4,26.68,29.02,-1.5,2270232.222,2272744.925
"1991/1992",42,7,"2/12/1992",199207,199202,1992,2,2,0,1,54,6,65,0.1788571,0.1305,0,296.3,299.8,5.5,2.585714286,297.9928571,26.68,29.02,-1.5,2270232.222,2273247.466
"1991/1992",43,8,"2/19/1992",199208,199202,1992,1,0,0,1,31,0,33,0.2030571,0.1844667,0,296.3,299.2,12.8,2.3,297.6785714,26.68,29.02,-1.5,2270232.222,2273750.006
"1991/1992",44,9,"2/26/1992",199209,199202,1992,3,2,0,1,32,0,38,0.1630571,0.0815,0,295.7,299.8,5.3,2.271428571,297.75,26.68,29.02,-1.5,2270232.222,2274252.547
"1991/1992",45,10,"3/4/1992",199210,199203,1992,5,1,0,1,52,0,59,0.1928571,0.18218,23.22,296.1,299.6,13.06,2.6,297.8285714,27.76,29.08,-3.3,2270232.222,2274755.088
"1991/1992",46,11,"3/11/1992",199211,199203,1992,3,1,0,3,33,0,40,0.1551,0.09015,0,295.5,300.4,10.3,2.614285714,297.9928571,27.76,29.08,-3.3,2270232.222,2275257.628
"1991/1992",47,12,"3/18/1992",199212,199203,1992,1,0,0,0,36,0,37,0.1345143,0.08405,0,295.8,300.3,13.5,3,297.7,27.76,29.08,-3.3,2270232.222,2275760.169
"1991/1992",48,13,"3/25/1992",199213,199203,1992,2,0,0,1,26,0,29,0.1068,0.103508986057117,165.48,296,300,17.5,2.642857143,298.0642857,27.76,29.08,-3.3,2270232.222,2276262.709
"1991/1992",49,14,"4/1/1992",199214,199204,1992,2,0,0,0,28,0,30,0.1769,0.07765,0,295.9,301.6,21.7,3.471428571,298.7071429,27.68,29.42,-1.7,2270232.222,2276765.25
"1991/1992",50,15,"4/8/1992",199215,199204,1992,1,2,0,0,27,0,30,0.1243857,0.1315,83.11,296.6,300.4,60.8,2.342857143,298.0857143,27.68,29.42,-1.7,2270232.222,2277267.791
"1991/1992",51,16,"4/15/1992",199216,199204,1992,1,0,0,0,27,0,28,0.1729857,0.09743333,36.16,296.5,300.6,26,2.728571429,298.2214286,27.68,29.42,-1.7,2270232.222,2277770.331
"1991/1992",52,17,"4/22/1992",199217,199204,1992,2,0,0,0,21,0,23,0.1548286,0.1137,0,295.6,302.1,2,3.9,298.85,27.68,29.42,-1.7,2270232.222,2278272.872
"1992/1993",1,18,"4/29/1992",199218,199204,1992,0,0,0,1,23,0,24,0.08944286,0.0635,13.92,296,301.8,47,2.742857143,298.0857143,27.68,29.42,-1.7,2270232.222,2278775.412
"1992/1993",2,19,"5/6/1992",199219,199205,1992,2,2,0,0,25,0,29,0.2073571,0.2169,2.94,297.2,300.4,25.5,2.257142857,298.7,26.31,29.46,0.4,2270232.222,2279277.953
"1992/1993",3,20,"5/13/1992",199220,199205,1992,3,1,0,0,22,0,26,0.1259,-0.0088,81.42,296.8,301.4,574.3,2.9,298.65,26.31,29.46,0.4,2270232.222,2279780.494
"1992/1993",4,21,"5/20/1992",199221,199205,1992,1,0,0,1,21,0,23,0.0574,0.0686,208.42,297,300.2,149.7,2.157142857,298.6785714,26.31,29.46,0.4,2270232.222,2280283.034
"1992/1993",5,22,"5/27/1992",199222,199205,1992,4,0,0,0,16,0,20,0.2130143,0.144974244279752,26.37,297.6,301,30.2,2.1,299.1928571,26.31,29.46,0.4,2270232.222,2280785.575
"1992/1993",6,23,"6/3/1992",199223,199206,1992,0,0,0,0,19,0,19,0.1022286,0.13995,32.05,297.7,300.5,45.4,1.871428571,298.9357143,23.82,29.31,-1,2270232.222,2281288.115
"1992/1993",7,24,"6/10/1992",199224,199206,1992,1,0,0,0,19,0,20,0.1117714,0.0856,47.36,297,301,36.2,2.057142857,299.0714286,23.82,29.31,-1,2270232.222,2281790.656
"1992/1993",8,25,"6/17/1992",199225,199206,1992,3,0,0,2,21,0,26,0.1920857,0.15315,52.96,298,301.8,29.6,1.771428571,299.7142857,23.82,29.31,-1,2270232.222,2282293.197
"1992/1993",9,26,"6/24/1992",199226,199206,1992,0,0,0,2,27,0,29,0.11475,0.1302,10.74,298.3,301.9,9.7,2.3,300.4071429,23.82,29.31,-1,2270232.222,2282795.737
"1992/1993",10,27,"7/1/1992",199227,199207,1992,2,0,0,1,28,0,31,0.1684714,0.1439,1.86,298.7,302.2,9.5,2.685714286,300.5285714,21.95,29.35,-1,2270232.222,2283298.278
"1992/1993",11,28,"7/8/1992",199228,199207,1992,0,0,0,0,28,0,28,0.1530714,0.192,98.13,298,301.8,44.9,2.1,299.75,21.95,29.35,-1,2270232.222,2283800.818
"1992/1993",12,29,"7/15/1992",199229,199207,1992,0,0,0,0,26,0,26,0.1825333,0.1255,33.44,298,301.1,69.84,1.985714286,299.2642857,21.95,29.35,-1,2270232.222,2284303.359
"1992/1993",13,30,"7/22/1992",199230,199207,1992,3,1,0,1,27,0,32,0.1288714,0.05918,29.49,297.7,301.2,60.3,1.8,299.2571429,21.95,29.35,-1,2270232.222,2284805.9
"1992/1993",14,31,"7/29/1992",199231,199207,1992,2,3,0,3,25,2,35,0.1499143,0.1261333,60.13,297.6,301.5,37.8,2.4,299.7714286,21.95,29.35,-1,2270232.222,2285308.44
"1992/1993",15,32,"8/5/1992",199232,199208,1992,4,2,0,1,22,4,33,0.1450571,0.173275,65.1,297.8,301.3,84.2,1.914285714,299.2285714,20.55,28.9,0.6,2270232.222,2285810.981
"1992/1993",16,33,"8/12/1992",199233,199208,1992,2,0,0,1,21,6,30,0.2192714,0.12665,68.53,298.3,302.2,43.9,2.414285714,299.9642857,20.55,28.9,0.6,2270232.222,2286313.521
"1992/1993",17,34,"8/19/1992",199234,199208,1992,9,4,0,2,24,13,52,0.1925714,0.1368,34.3,298.1,302.1,31.3,2.328571429,300.0071429,20.55,28.9,0.6,2270232.222,2286816.062
"1992/1993",18,35,"8/26/1992",199235,199208,1992,7,5,0,0,34,13,59,0.2217571,0.0817,51.89,298.4,302,37.66,2.257142857,300.1857143,20.55,28.9,0.6,2270232.222,2287318.603
"1992/1993",19,36,"9/2/1992",199236,199209,1992,11,2,0,1,33,20,67,0.1256571,0.2175,41.13,298.2,302.2,86.3,1.971428571,299.7285714,20.06,28.79,0.1,2270232.222,2287821.143
"1992/1993",20,37,"9/9/1992",199237,199209,1992,8,2,0,4,37,14,65,0.2148286,0.1768,27.24,297.9,302.2,43.5,2.542857143,300.0428571,20.06,28.79,0.1,2270232.222,2288323.684
"1992/1993",21,38,"9/16/1992",199238,199209,1992,4,1,0,1,45,23,74,0.1588143,0.07226667,89.84,298,301.4,109.69,1.828571429,299.3,20.06,28.79,0.1,2270232.222,2288826.224
"1992/1993",22,39,"9/23/1992",199239,199209,1992,6,4,0,0,40,20,70,0.2122714,0.1435,98.94,297.6,302.3,29.1,2.242857143,299.8357143,20.06,28.79,0.1,2270232.222,2289328.765
"1992/1993",23,40,"9/30/1992",199240,199209,1992,9,4,0,1,29,18,61,0.09435,0.12715,23.43,297.7,302.8,15.7,3.685714286,300.3285714,20.06,28.79,0.1,2270232.222,2289831.306
"1992/1993",24,41,"10/7/1992",199241,199210,1992,4,2,0,1,31,15,53,0.1911,0.10745,17.38,298.1,302.6,11.5,2.685714286,300.2142857,20.82,28.69,-2.3,2270232.222,2290333.846
"1992/1993",25,42,"10/14/1992",199242,199210,1992,2,1,0,0,44,29,76,0.1832286,0.1979,12.18,298.2,301.6,23.3,2.542857143,299.8714286,20.82,28.69,-2.3,2270232.222,2290836.387
"1992/1993",26,43,"10/21/1992",199243,199210,1992,0,1,0,0,27,33,61,0.1129833,0.0312,88.45,297,302.3,27.4,2.857142857,299.8571429,20.82,28.69,-2.3,2270232.222,2291338.927
"1992/1993",27,44,"10/28/1992",199244,199210,1992,3,0,0,1,31,22,57,0.1124286,0.1254,56.13,298,301.5,29.3,2.242857143,299.8071429,20.82,28.69,-2.3,2270232.222,2291841.468
"1992/1993",28,45,"11/4/1992",199245,199211,1992,7,2,0,0,22,13,44,0.2498571,0.1209667,40.06,297.4,300.9,27.42,2.285714286,299.1571429,21.49,28.7,-1.1,2270232.222,2292344.009
"1992/1993",29,46,"11/11/1992",199246,199211,1992,0,1,0,1,19,13,34,0.0668,0.1422,43.44,296.6,300.6,104.67,1.871428571,298.1357143,21.49,28.7,-1.1,2270232.222,2292846.549
