Animal Genome Size Data:: www.genomesize.com,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Data downloaded under intellectual property agreement on Tuesday 06th of November 2012 02:10:15 AM by David Orme, d.orme@imperial.ac.uk",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Phylum,Sub Phylum,Class,Order,Family,Species,Common Name,C-value,Chrom num,Method,Cell type,Std sp,References,References
Chordata,Vertebrata,Mammalia,Artiodactyla,Camelidae,Lama glama,Llama,3.25,74.00,FD,LK,"HS, GD, MN, RN","De Stefano, G.F., S. Garagna, and C.A. Redi (1982). Genome size in some species of Camelidae. Basic and Applied Histochemistry 26 Suppl.: XCII.","Manfredi Romanini, M.G. (1985). The nuclear content of desoxyribonucleic acid and some problems of Mammalian phylogenesis. Mammalia 49: 369-385."
Chordata,Vertebrata,Mammalia,Artiodactyla,Camelidae,Lama guanicoe,Guanaco,3.21,74.00,FD,LK,"HS, GD, MN, RN","De Stefano, G.F., S. Garagna, and C.A. Redi (1982). Genome size in some species of Camelidae. Basic and Applied Histochemistry 26 Suppl.: XCII.","Manfredi Romanini, M.G. (1985). The nuclear content of desoxyribonucleic acid and some problems of Mammalian phylogenesis. Mammalia 49: 369-385."
Chordata,Vertebrata,Mammalia,Artiodactyla,Camelidae,Vicugna vicugna,Vicu±a,3.24,74.00,FD,LK,"HS, GD, MN, RN","De Stefano, G.F., S. Garagna, and C.A. Redi (1982). Genome size in some species of Camelidae. Basic and Applied Histochemistry 26 Suppl.: XCII.","Manfredi Romanini, M.G. (1985). The nuclear content of desoxyribonucleic acid and some problems of Mammalian phylogenesis. Mammalia 49: 369-385."
Chordata,Vertebrata,Mammalia,Artiodactyla,Cervidae,Muntiacus muntjak,Barking deer,1.94,,FD,F,GD,"Green, R.J. and G.F. Bahr (1975). Comparison of G-, Q-, and EM-banding patterns exhibited by the chromosome complement of the Indian muntjac, Muntiacus muntjak, with reference to nuclear DNA content and chromatin ultrastructure. Chromosoma 50: 53-67.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Cervidae,Muntiacus muntjak,Barking deer,3.15,,FD,LG,HS,"Kato, H., M. Harada, K. Tsuchiya, and K. Moriwaki (1980). Absence of correlation between DNA repair in ultraviolet irradiated mammalian cells and life span of the donor species. Japanese Journal of Genetics 55: 99-108.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Cervidae,Muntiacus muntjak,Barking deer,3.44,6.00,FCM,LK,HS,"Kent, M., R. Chandler, and S. Wachtel (1988). DNA analysis by flow cytometry. Cytogenetics and Cell Genetics 47: 88-89.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Cervidae,Muntiacus muntjak muntjak,Barking deer,3.32,8.00,FD,F,HS,"Wurster, D.H. and N.B. Atkin (1972). Muntjac chromosomes: a new karyotype for Muntiacus muntjak. Experientia 28: 972-973.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Cervidae,Muntiacus muntjak vaginalis,Indian muntjac,2.22,6.00,FCM,S,BO,"Johnston, F.P., R.B. Church, and C.C. Lin (1982). Chromosome rearrangement between the Indian muntjac and Chinese muntjac is accompanied by a deletion of middle repetitive DNA. Canadian Journal of Biochemistry 60: 497-506.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Cervidae,Muntiacus muntjak vaginalis,Indian muntjac,2.53,,FD,F,HS,"Wurster, D.H. and N.B. Atkin (1972). Muntjac chromosomes: a new karyotype for Muntiacus muntjak. Experientia 28: 972-973.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Cervidae,Muntiacus muntjak vaginalis,Indian muntjac,3.01,,FD,F,HS,"Greilhuber, J., M. Volleth, and J. Loidl (1983). Genome size of man and animals relative to the plant Allium cepa. Canadian Journal of Genetics and Cytology 25: 554-560.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Cervidae,Muntiacus reevesi,Reeves's (Chinese) muntjac,2.85,46.00,FCM,S,BO,"Johnston, F.P., R.B. Church, and C.C. Lin (1982). Chromosome rearrangement between the Indian muntjac and Chinese muntjac is accompanied by a deletion of middle repetitive DNA. Canadian Journal of Biochemistry 60: 497-506.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Cervidae,Muntiacus reevesi,Reeves's (Chinese) muntjac,3.13,,FD,F,HS,"Wurster, D.H. and N.B. Atkin (1972). Muntjac chromosomes: a new karyotype for Muntiacus muntjak. Experientia 28: 972-973.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Cervidae,Rangifer tarandus,"Reindeer, caribou",3.41,,FCM,SP,"HS, RT","Vinogradov, A.E. (1998a). Genome size and GC-percent in vertebrates as determined by flow cytometry: the triangular relationship. Cytometry 31: 100-109.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Giraffidae,Giraffa camelopardalis,Giraffe,2.85,30.00,FCM,SP,"HS, RT","Vinogradov, A.E. (1998a). Genome size and GC-percent in vertebrates as determined by flow cytometry: the triangular relationship. Cytometry 31: 100-109.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Giraffidae,Giraffa camelopardalis,Reticulated giraffe,2.69,,FCM,LK,"HS, OM","Krishan, A. P. Dandekar, N. Nathan, R. Hamelik, C. Miller, and J. Shaw (2005). DNA index, genome size, and electronic nuclear volume of vertebrates from the Miami Metro Zoo. Cytometry 65A: 26-34.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Suidae,Sus scrofa domesticus,Domestic pig,2.98,,BCA,"LV, KC",HS,"Vendrely, R. and C. Vendrely (1949). La teneur du noyau cellulaire en acide désoxyribonucléique à travers les organes, les individus et les espèces animales: Etude particulière des Mammifères. Experientia 5: 327-329.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Suidae,Sus scrofa domesticus,Domestic pig,2.99,,FCM,LK,HS,"Kent, M., R. Chandler, and S. Wachtel (1988). DNA analysis by flow cytometry. Cytogenetics and Cell Genetics 47: 88-89.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Suidae,Sus scrofa domesticus,Domestic pig,3.00,38.00,FCM,LK,"HS, GD, V","Tiersch, T.R., R.W. Chandler, S.S. Wachtel, and S. Elias (1989a). Reference standards for flow cytometry and application in comparative studies of nuclear DNA content. Cytometry 10: 706-710.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Suidae,Sus scrofa domesticus,Domestic pig,3.03,,BCA,"LV, KC",HS,"Vendrely, R. and C. Vendrely (1948). La teneur du noyau cellulaire en acide désoxyribonucléique à travers les organes, les individus et les espèces animales: Techniques et premiers résultats. Experientia 4: 434-436.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Suidae,Sus scrofa domesticus,Domestic pig,3.15,,FD,"S, TC",HS,"Greilhuber, J., M. Volleth, and J. Loidl (1983). Genome size of man and animals relative to the plant Allium cepa. Canadian Journal of Genetics and Cytology 25: 554-560.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Suidae,Sus scrofa domesticus,Domestic pig,3.21,,FCM,SP,"HS, RT","Vinogradov, A.E. (1998a). Genome size and GC-percent in vertebrates as determined by flow cytometry: the triangular relationship. Cytometry 31: 100-109.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Suidae,Sus scrofa domesticus,Domestic pig,3.47,,FD,LG,HS,"Kato, H., M. Harada, K. Tsuchiya, and K. Moriwaki (1980). Absence of correlation between DNA repair in ultraviolet irradiated mammalian cells and life span of the donor species. Japanese Journal of Genetics 55: 99-108.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Suidae,Sus scrofa domesticus,Domestic pig,3.51,,BCA,LK,HS,"Mandel, P., P. Métais, and S. Cuny (1951). Les quantités d'acide désoxypentose-nucléique par leucocyte chez diverses espèces de mammifères. Comptes Rendus de l'Académie des Sciences 231: 1172-1174.",
Chordata,Vertebrata,Mammalia,Artiodactyla,Suidae,Sus scrofa scrofa,Vietnamese pot-bellied pig,2.81,,FCM,LK,"HS, OM","Krishan, A. P. Dandekar, N. Nathan, R. Hamelik, C. Miller, and J. Shaw (2005). DNA index, genome size, and electronic nuclear volume of vertebrates from the Miami Metro Zoo. Cytometry 65A: 26-34.",
Chordata,Vertebrata,Mammalia,Carnivora,Canidae,Canis familiaris,Domestic dog,2.80,78.00,FCM,LK,"HS, GD, V","Tiersch, T.R., R.W. Chandler, S.S. Wachtel, and S. Elias (1989a). Reference standards for flow cytometry and application in comparative studies of nuclear DNA content. Cytometry 10: 706-710.",
Chordata,Vertebrata,Mammalia,Carnivora,Canidae,Canis familiaris,Domestic dog,2.85,,FCM,LK,GD,"Peterson, D.G., S.M. Stack, J.L. Healy, B.S. Donohoe, and L.K. Anderson (1994). The relationship between synaptonemal complex length and genome size in four vertebrate classes (Osteichthyes, Reptilia, Aves, Mammalia). Chromosome Research 2: 153-162.",
Chordata,Vertebrata,Mammalia,Carnivora,Canidae,Canis familiaris,Domestic dog,2.88,,FCM,SP,"HS, RT","Vinogradov, A.E. (1998a). Genome size and GC-percent in vertebrates as determined by flow cytometry: the triangular relationship. Cytometry 31: 100-109.",
Chordata,Vertebrata,Mammalia,Carnivora,Canidae,Canis familiaris,Domestic dog,2.96,,FD,LG,HS,"Kato, H., M. Harada, K. Tsuchiya, and K. Moriwaki (1980). Absence of correlation between DNA repair in ultraviolet irradiated mammalian cells and life span of the donor species. Japanese Journal of Genetics 55: 99-108.",
Chordata,Vertebrata,Mammalia,Carnivora,Canidae,Canis familiaris,Domestic dog,3.09,,BCA,"LV, KC",HS,"Vendrely, R. and C. Vendrely (1949). La teneur du noyau cellulaire en acide désoxyribonucléique à travers les organes, les individus et les espèces animales: Etude particulière des Mammifères. Experientia 5: 327-329.",
Chordata,Vertebrata,Mammalia,Carnivora,Canidae,Canis familiaris,Domestic dog,3.19,,SCF,LK,HS,"De Smet, W.H.O. (1981). The nuclear Feulgen-DNA content of the vertebrates (especially reptiles), as measured by fluorescence cytophotometry, with notes on the cell and chromosome size. Acta Zoologica et Pathologica Antverpiensia 76: 119-167.",
Chordata,Vertebrata,Mammalia,Carnivora,Canidae,Canis familiaris,Domestic dog,3.20,,BCA,BR,HS,"Heller, I.H. and K.A.C. Elliott (1954). Desoxyribonucleic acid content and cell density in brain and human brain tumors. Canadian Journal of Biochemistry and Physiology 32: 584-592.",
Chordata,Vertebrata,Mammalia,Carnivora,Canidae,Canis familiaris,Domestic dog,3.26,,BCA,LK,HS,"Mandel, P., P. Métais, and S. Cuny (1951). Les quantités d'acide désoxypentose-nucléique par leucocyte chez diverses espèces de mammifères. Comptes Rendus de l'Académie des Sciences 231: 1172-1174.",
Chordata,Vertebrata,Mammalia,Carnivora,Canidae,Canis familiaris,Domestic dog,3.43,,FD,LV,HS,"Bachmann, K. (1972). Genome size in mammals. Chromosoma 35: 85-93.",
Chordata,Vertebrata,Mammalia,Carnivora,Canidae,Canis familiaris,Domestic dog,3.54,,FD,BE,HS,"Atkin, N.B., G. Mattinson, W. Beçak, and S. Ohno (1965). The comparative DNA content of 19 species of placental mammals, reptiles, and birds. Chromosoma 17: 1-10.",
Chordata,Vertebrata,Mammalia,Carnivora,Canidae,Canis latrans,Coyote,2.82,78.00,FCM,EP,"HS, GD","Wurster-Hill, D.H., O.G. Ward, B.H. Davis, J.P. Park, R.K. Moyzis, and J. Meyne (1988). Fragile sites, telomeric DNA sequences, B chromosomes, and DNA content in raccoon dogs, Nyctereutes procyonoides, with comparative notes on foxes, coyote, wolf, and ra",
Chordata,Vertebrata,Mammalia,Carnivora,Canidae,Canis lupus,Timber wolf,2.81,78.00,FCM,EP,"HS, GD","Wurster-Hill, D.H., O.G. Ward, B.H. Davis, J.P. Park, R.K. Moyzis, and J. Meyne (1988). Fragile sites, telomeric DNA sequences, B chromosomes, and DNA content in raccoon dogs, Nyctereutes procyonoides, with comparative notes on foxes, coyote, wolf, and ra",
Chordata,Vertebrata,Mammalia,Carnivora,Canidae,Canis rufus,Red wolf,3.04,,FCM,SP,"HS, RT","Vinogradov, A.E. (1998a). Genome size and GC-percent in vertebrates as determined by flow cytometry: the triangular relationship. Cytometry 31: 100-109.",
Chordata,Vertebrata,Mammalia,Carnivora,Canidae,Lycaon pictus,African hunting dog,2.73,,FCM,LK,"HS, OM","Krishan, A. P. Dandekar, N. Nathan, R. Hamelik, C. Miller, and J. Shaw (2005). DNA index, genome size, and electronic nuclear volume of vertebrates from the Miami Metro Zoo. Cytometry 65A: 26-34.",
Chordata,Vertebrata,Mammalia,Carnivora,Canidae,Nyctereutes procyonoides procyonoides,Chinese raccoon dog,3.27,54.00,FCM,EP,"HS, GD","Wurster-Hill, D.H., O.G. Ward, B.H. Davis, J.P. Park, R.K. Moyzis, and J. Meyne (1988). Fragile sites, telomeric DNA sequences, B chromosomes, and DNA content in raccoon dogs, Nyctereutes procyonoides, with comparative notes on foxes, coyote, wolf, and ra",
Chordata,Vertebrata,Mammalia,Carnivora,Canidae,Nyctereutes procyonoides viverrinus,Japanese raccoon dog,3.19,38.00,FCM,EP,"HS, GD","Wurster-Hill, D.H., O.G. Ward, B.H. Davis, J.P. Park, R.K. Moyzis, and J. Meyne (1988). Fragile sites, telomeric DNA sequences, B chromosomes, and DNA content in raccoon dogs, Nyctereutes procyonoides, with comparative notes on foxes, coyote, wolf, and ra",
Chordata,Vertebrata,Mammalia,Carnivora,Canidae,Urocyon cinereoargenteus,Gray fox,3.07,66.00,FCM,EP,"HS, GD","Wurster-Hill, D.H., O.G. Ward, B.H. Davis, J.P. Park, R.K. Moyzis, and J. Meyne (1988). Fragile sites, telomeric DNA sequences, B chromosomes, and DNA content in raccoon dogs, Nyctereutes procyonoides, with comparative notes on foxes, coyote, wolf, and ra",
Chordata,Vertebrata,Mammalia,Carnivora,Canidae,Vulpes vulpes,Red fox,2.85,34.00,FCM,EP,"HS, GD","Wurster-Hill, D.H., O.G. Ward, B.H. Davis, J.P. Park, R.K. Moyzis, and J. Meyne (1988). Fragile sites, telomeric DNA sequences, B chromosomes, and DNA content in raccoon dogs, Nyctereutes procyonoides, with comparative notes on foxes, coyote, wolf, and ra",
Chordata,Vertebrata,Mammalia,Carnivora,Felidae,Acinonyx jubatus,Cheetah,2.56,38.00,FD,S,FC,E.M. Rasch. Unpublished Data,
Chordata,Vertebrata,Mammalia,Carnivora,Felidae,Felis catus,Domestic cat,2.86,,FD,LG,HS,"Kato, H., M. Harada, K. Tsuchiya, and K. Moriwaki (1980). Absence of correlation between DNA repair in ultraviolet irradiated mammalian cells and life span of the donor species. Japanese Journal of Genetics 55: 99-108.",
Chordata,Vertebrata,Mammalia,Carnivora,Felidae,Felis catus,Domestic cat,2.91,38.00,FCM,SP,"HS, RT","Vinogradov, A.E. (1998a). Genome size and GC-percent in vertebrates as determined by flow cytometry: the triangular relationship. Cytometry 31: 100-109.",
Chordata,Vertebrata,Mammalia,Carnivora,Felidae,Felis catus,Domestic cat,3.10,,FCM,LK,GD,"Peterson, D.G., S.M. Stack, J.L. Healy, B.S. Donohoe, and L.K. Anderson (1994). The relationship between synaptonemal complex length and genome size in four vertebrate classes (Osteichthyes, Reptilia, Aves, Mammalia). Chromosome Research 2: 153-162.",
Chordata,Vertebrata,Mammalia,Carnivora,Felidae,Felis catus,Domestic cat,3.22,,SCF,LK,HS,"De Smet, W.H.O. (1981). The nuclear Feulgen-DNA content of the vertebrates (especially reptiles), as measured by fluorescence cytophotometry, with notes on the cell and chromosome size. Acta Zoologica et Pathologica Antverpiensia 76: 119-167.",
Chordata,Vertebrata,Mammalia,Carnivora,Felidae,Felis catus,Domestic cat,3.45,,BCA,BR,HS,"Heller, I.H. and K.A.C. Elliott (1954). Desoxyribonucleic acid content and cell density in brain and human brain tumors. Canadian Journal of Biochemistry and Physiology 32: 584-592.",
Chordata,Vertebrata,Mammalia,Carnivora,Felidae,Felis concolor,Cougar,3.05,38.00,FD,S,FC,E.M. Rasch. Unpublished Data,
Chordata,Vertebrata,Mammalia,Carnivora,Felidae,Felis lynx,Lynx,2.92,38.00,FCM,SP,"HS, RT","Vinogradov, A.E. (1998a). Genome size and GC-percent in vertebrates as determined by flow cytometry: the triangular relationship. Cytometry 31: 100-109.",
Chordata,Vertebrata,Mammalia,Carnivora,Felidae,Felis silvestris,Wildcat,2.92,,FCM,SP,"HS, RT","Vinogradov, A.E. (1998a). Genome size and GC-percent in vertebrates as determined by flow cytometry: the triangular relationship. Cytometry 31: 100-109.",
Chordata,Vertebrata,Mammalia,Carnivora,Felidae,Felis silvestris,Wildcat,3.00,38.00,FCM,SP,"HS, RT","Vinogradov, A.E. (1998a). Genome size and GC-percent in vertebrates as determined by flow cytometry: the triangular relationship. Cytometry 31: 100-109.",
Chordata,Vertebrata,Mammalia,Carnivora,Felidae,Neofelis nebulosa,Clouded leopard,2.77,,FCM,LK,"HS, OM","Krishan, A. P. Dandekar, N. Nathan, R. Hamelik, C. Miller, and J. Shaw (2005). DNA index, genome size, and electronic nuclear volume of vertebrates from the Miami Metro Zoo. Cytometry 65A: 26-34.",
Chordata,Vertebrata,Mammalia,Carnivora,Felidae,Panthera leo,African lion,2.95,,FCM,LK,"HS, OM","Krishan, A. P. Dandekar, N. Nathan, R. Hamelik, C. Miller, and J. Shaw (2005). DNA index, genome size, and electronic nuclear volume of vertebrates from the Miami Metro Zoo. Cytometry 65A: 26-34.",
Chordata,Vertebrata,Mammalia,Carnivora,Felidae,Panthera leo persica,Asian lion,3.83,38.00,FD,S,FC,E.M. Rasch. Unpublished Data,
Chordata,Vertebrata,Mammalia,Carnivora,Felidae,Panthera tigris,Tiger,2.71,,FCM,LK,"HS, OM","Krishan, A. P. Dandekar, N. Nathan, R. Hamelik, C. Miller, and J. Shaw (2005). DNA index, genome size, and electronic nuclear volume of vertebrates from the Miami Metro Zoo. Cytometry 65A: 26-34.",
Chordata,Vertebrata,Mammalia,Carnivora,Felidae,Panthera tigris altaica,Siberian tiger,2.58,38.00,FD,S,FC,E.M. Rasch. Unpublished Data,
