Numbers,OriginalID,FinalID,Resource,ResCommon,ResIDLevel,ResKingdom,ResPhylum,ResClass,ResOrder,ResFamily,ResGenus,ResSpecies,ResTrophic,ResTrophicGroup_citation,ResType,ResStage,ResThermy,,,,
376,202,MTD41,Tubifex spp.,sludge worm,genus,Animalia,Annelida,Clitellata,Haplotaxida,Naididae,Tubifex,NA,detritivore,NA,alive,adult,ectotherm,,,,
379,203,MTD42,Lumbricus sp. A,terrestrial oligochaete worm,genus,Animalia,Annelida,Clitellata,Haplotaxida,Lumbricidae,Lumbricus,NA,detritivore,NA,alive,adult,ectotherm,,,,
384,205,MTD43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
390,207,MTD44,Lumbricus sp. A,terrestrial oligochaete worm,genus,Animalia,Annelida,Clitellata,Haplotaxida,Lumbricidae,Lumbricus,NA,detritivore,NA,alive,adult,ectotherm,,,,
396,209,MTD45,Lumbricus sp. A,terrestrial oligochaete worm,genus,Animalia,Annelida,Clitellata,Haplotaxida,Lumbricidae,Lumbricus,NA,detritivore,NA,alive,adult,ectotherm,,,,
403,211,MTD46,Lumbricus sp. A,terrestrial oligochaete worm,genus,Animalia,Annelida,Clitellata,Haplotaxida,Lumbricidae,Lumbricus,NA,detritivore,NA,alive,adult,ectotherm,,,,
410,213,MTD47,Lumbricus sp. A,terrestrial oligochaete worm,genus,Animalia,Annelida,Clitellata,Haplotaxida,Lumbricidae,Lumbricus,NA,detritivore,NA,alive,adult,ectotherm,,,,
416,215,MTD48,Lumbricus sp. A,terrestrial oligochaete worm,genus,Animalia,Annelida,Clitellata,Haplotaxida,Lumbricidae,Lumbricus,NA,detritivore,NA,alive,adult,ectotherm,,,,
421,217,MTD49,Lumbricus sp. A,terrestrial oligochaete worm,genus,Animalia,Annelida,Clitellata,Haplotaxida,Lumbricidae,Lumbricus,NA,detritivore,NA,alive,adult,ectotherm,,,,
426,220,MTD50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
434,229,MTD51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
442,235,MTD52,Daphnia pulex,water flea,species,Animalia,Arthropoda,Branchiopoda,Cladocera,Daphniidae,Daphnia,Daphnia pulex,omnivore,http://en.wikipedia.org/wiki/Daphnia#Ecology,alive,adult,ectotherm,,,,
449,236,MTD53,Daphnia pulex,water flea,species,Animalia,Arthropoda,Branchiopoda,Cladocera,Daphniidae,Daphnia,Daphnia pulex,omnivore,http://en.wikipedia.org/wiki/Daphnia#Ecology,alive,adult,ectotherm,,,,
456,237,MTD54,Daphnia pulex,water flea,species,Animalia,Arthropoda,Branchiopoda,Cladocera,Daphniidae,Daphnia,Daphnia pulex,omnivore,http://en.wikipedia.org/wiki/Daphnia#Ecology,alive,adult,ectotherm,,,,
461,241,MTD55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
464,242,MTD56,Daphnia pulex,water flea,species,Animalia,Arthropoda,Branchiopoda,Cladocera,Daphniidae,Daphnia,Daphnia pulex,omnivore,http://en.wikipedia.org/wiki/Daphnia#Ecology,alive,adult,ectotherm,,,,
470,248,MTD57,Daphnia pulex,water flea,species,Animalia,Arthropoda,Branchiopoda,Cladocera,Daphniidae,Daphnia,Daphnia pulex,omnivore,http://en.wikipedia.org/wiki/Daphnia#Ecology,alive,adult,ectotherm,,,,
477,250,MTD58,Culex pipens,culex mosquito,species,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex pipens,omnivore,NA,alive,instar 4,ectotherm,,,,
479,252,MTD59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
483,254,MTD60,Culex pipens,culex mosquito,species,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex pipens,omnivore,NA,alive,instar 4,ectotherm,,,,
485,256,MTD61,chicken liver,chicken liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,artificial,NA,NA,,,,
490,258,MTD62,chicken liver,chicken liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,artificial,NA,NA,,,,
495,259,MTD63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
498,260,MTD64,Simulium spp.,blackfly,genus,Animalia,Arthropoda,Insecta,Diptera,Simullidae,Simulium,NA,omnivore,http://www.jstor.org/stable/1467419?seq=2,alive,larvae,ectotherm,,,,
522,261,MTD65,Simulium spp.,blackfly,genus,Animalia,Arthropoda,Insecta,Diptera,Simullidae,Simulium,NA,omnivore,http://www.jstor.org/stable/1467419?seq=2,alive,larvae,ectotherm,,,,
546,262,MTD66,Simulium spp.,blackfly,genus,Animalia,Arthropoda,Insecta,Diptera,Simullidae,Simulium,NA,omnivore,http://www.jstor.org/stable/1467419?seq=2,alive,larvae,ectotherm,,,,
563,263,MTD67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
567,264,MTD68,Hydropsyche spp.,caddisfly,genus,Animalia,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Hydropsyche,NA,omnivore,http://www3.interscience.wiley.com/cgi-bin/fulltext/115806678/PDFSTART,alive,larvae,ectotherm,,,,
591,265,MTD69,Hydropsyche spp.,caddisfly,genus,Animalia,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Hydropsyche,NA,omnivore,http://www3.interscience.wiley.com/cgi-bin/fulltext/115806678/PDFSTART,alive,larvae,ectotherm,,,,
612,266,MTD70,Hydropsyche spp.,caddisfly,genus,Animalia,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Hydropsyche,NA,omnivore,http://www3.interscience.wiley.com/cgi-bin/fulltext/115806678/PDFSTART,alive,larvae,ectotherm,,,,
633,267,MTD71,Tubifex spp.,sludge worm,genus,Animalia,Annelida,Clitellata,Haplotaxida,Naididae,Tubifex,NA,detritivore,NA,alive,adult,ectotherm,,,,
634,268,MTD72,Tubifex spp.,sludge worm,genus,Animalia,Annelida,Clitellata,Haplotaxida,Naididae,Tubifex,NA,detritivore,NA,alive,adult,ectotherm,,,,
635,269,MTD73,Tubifex spp.,sludge worm,genus,Animalia,Annelida,Clitellata,Haplotaxida,Naididae,Tubifex,NA,detritivore,NA,alive,adult,ectotherm,,,,
636,270,MTD74,Tubifex spp.,sludge worm,genus,Animalia,Annelida,Clitellata,Haplotaxida,Naididae,Tubifex,NA,detritivore,NA,alive,adult,ectotherm,,,,
637,271,MTD75,Daphnia pulex,water flea,species,Animalia,Arthropoda,Branchiopoda,Cladocera,Daphniidae,Daphnia,Daphnia pulex,omnivore,http://en.wikipedia.org/wiki/Daphnia#Ecology,alive,adult,ectotherm,,,,
643,272,MTD76,Daphnia pulex,water flea,species,Animalia,Arthropoda,Branchiopoda,Cladocera,Daphniidae,Daphnia,Daphnia pulex,omnivore,http://en.wikipedia.org/wiki/Daphnia#Ecology,alive,adult,ectotherm,,,,
650,273,MTD77,Daphnia pulex,water flea,species,Animalia,Arthropoda,Branchiopoda,Cladocera,Daphniidae,Daphnia,Daphnia pulex,omnivore,http://en.wikipedia.org/wiki/Daphnia#Ecology,alive,adult,ectotherm,,,,
656,274,MTD78,Daphnia pulex,water flea,species,Animalia,Arthropoda,Branchiopoda,Cladocera,Daphniidae,Daphnia,Daphnia pulex,omnivore,http://en.wikipedia.org/wiki/Daphnia#Ecology,alive,adult,ectotherm,,,,
662,275,MTD79,Danio rerio,zebra danio,species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Danio,Danio rerio,omnivore,NA,alive,juvenile,ectotherm,,,,
665,276,MTD80,Danio rerio,zebra danio,species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Danio,Danio rerio,omnivore,NA,alive,juvenile,ectotherm,,,,
668,277,MTD81,Danio rerio,zebra danio,species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Danio,Danio rerio,omnivore,NA,alive,juvenile,ectotherm,,,,
671,278,MTD82,Danio rerio,zebra danio,species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Danio,Danio rerio,omnivore,NA,alive,juvenile,ectotherm,,,,
674,279,MTD83,Tenebrio molitor,yellow mealworm beetle,species,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Tenebrio,Tenebrio molitor,herbivore,http://en.wikipedia.org/wiki/Mealworm,alive,larvae,ectotherm,,,,
682,280,MTD84,Tenebrio molitor,yellow mealworm beetle,species,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Tenebrio,Tenebrio molitor,herbivore,http://en.wikipedia.org/wiki/Mealworm,alive,larvae,ectotherm,,,,
690,281,MTD85,Tenebrio molitor,yellow mealworm beetle,species,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Tenebrio,Tenebrio molitor,herbivore,http://en.wikipedia.org/wiki/Mealworm,alive,larvae,ectotherm,,,,
698,283,MTD86,chicken liver,chicken liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,artificial,NA,NA,,,,
704,287,MTD87,Diaptomus kenai,calanoid copepod,species,Animalia,Arthropoda,Copepoda,Calanoida,Diaptomidae,Diaptomus,Diaptomus kenai,omnivore,Kleppel 1993a,alive,adult,ectotherm,,,,
708,288,MTD88,Diaptomus kenai,calanoid copepod,species,Animalia,Arthropoda,Copepoda,Calanoida,Diaptomidae,Diaptomus,Diaptomus kenai,omnivore,Kleppel 1993a,alive,adult,ectotherm,,,,
712,289,MTD89,Diaptomus kenai,calanoid copepod,species,Animalia,Arthropoda,Copepoda,Calanoida,Diaptomidae,Diaptomus,Diaptomus kenai,omnivore,Kleppel 1993a,alive,adult,ectotherm,,,,
716,290,MTD90,Diaptomus kenai,calanoid copepod,species,Animalia,Arthropoda,Copepoda,Calanoida,Diaptomidae,Diaptomus,Diaptomus kenai,omnivore,Kleppel 1993a,alive,adult,ectotherm,,,,
720,293,MTD91,Culex pipens,culex mosquito,species,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex pipens,omnivore,NA,alive,instar 4,ectotherm,,,,
725,297,MTD92,Culex pipens,culex mosquito,species,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex pipens,omnivore,NA,alive,instar 4,ectotherm,,,,
730,301,MTD93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
735,302,MTD94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
740,303,MTD95,Coregonus clupeaformis,lake whitefish,species,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,Coregonus clupeaformis,carnivore,http://en.wikipedia.org/wiki/Salmonidae,alive,juvenile,ectotherm,,,,
744,304,MTD96,Coregonus clupeaformis,lake whitefish,species,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,Coregonus clupeaformis,carnivore,http://en.wikipedia.org/wiki/Salmonidae,alive,juvenile,ectotherm,,,,
748,305,MTD97,Coregonus clupeaformis,lake whitefish,species,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,Coregonus clupeaformis,carnivore,http://en.wikipedia.org/wiki/Salmonidae,alive,juvenile,ectotherm,,,,
752,307,MTD98,Mya arenaria,soft-shell clam,species,Animalia,Mollusca,Bivalvia,Myoida,Myidae,Mya,Mya arenaria,omnivore,NA,alive,adult,ectotherm,,,,
778,308,MTD99,Mytilus californianus,california mussel,species,Animalia,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,Mytilus californianus,omnivore,NA,alive,adult,ectotherm,,,,
793,309,MTD100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
798,310,MTD101,Mytilus edulis,blue mussel,species,Animalia,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,Mytilus edulis,omnivore,NA,alive,adult,ectotherm,,,,
806,311,MTD102,Chthamalus stellatus,'poli''s stellate barnacle',species,Animalia,Arthropoda,Cirripedia,Sessilia,Chthamalidae,Chthamalus,Chthamalus stellatus,omnivore,NA,alive,adult,ectotherm,,,,
812,312,MTD103,dead squid,dead squid,order,Animalia,Mollusca,Cephalopoda,Teuthida,NA,NA,NA,NA,NA,dead,adult,ectotherm,,,,
862,317,MTD104,Crassostrea virginica,eastern oyster,species,Animalia,Mollusca,Bivalvia,Ostreoida,Ostreidae,Crassostrea,Crassostrea virginica,omnivore,NA,alive,juvenile,ectotherm,,,,
865,318,MTD105,Crassostrea virginica,eastern oyster,species,Animalia,Mollusca,Bivalvia,Ostreoida,Ostreidae,Crassostrea,Crassostrea virginica,omnivore,NA,alive,juvenile,ectotherm,,,,
868,332,MTD106,Crassostrea virginica,eastern oyster,species,Animalia,Mollusca,Bivalvia,Ostreoida,Ostreidae,Crassostrea,Crassostrea virginica,omnivore,NA,alive,juvenile,ectotherm,,,,
871,333,MTD107,Crassostrea virginica,eastern oyster,species,Animalia,Mollusca,Bivalvia,Ostreoida,Ostreidae,Crassostrea,Crassostrea virginica,omnivore,NA,alive,juvenile,ectotherm,,,,
874,341,MTD108,Crassostrea virginica,eastern oyster,species,Animalia,Mollusca,Bivalvia,Ostreoida,Ostreidae,Crassostrea,Crassostrea virginica,omnivore,NA,alive,juvenile,ectotherm,,,,
877,342,MTD109,Crassostrea virginica,eastern oyster,species,Animalia,Mollusca,Bivalvia,Ostreoida,Ostreidae,Crassostrea,Crassostrea virginica,omnivore,NA,alive,juvenile,ectotherm,,,,
931,345,MTD110,Crassostrea virginica,eastern oyster,species,Animalia,Mollusca,Bivalvia,Ostreoida,Ostreidae,Crassostrea,Crassostrea virginica,omnivore,NA,alive,juvenile,ectotherm,,,,
982,349,MTD111,crab & fish meat,crab & fish meat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,artificial,NA,NA,,,,
988,350,MTD112,Phaeodactylum tricornutum,diatom,species,Protista,Heterokontophyta,Bacillariophyceae,Naviculales,Phaeodactylaceae,Phaeodactylum,Phaeodactylum tricornutum,producer,NA,alive,NA,ectotherm,,,,
993,351,MTD113,Skeletonema costatum,protist,species,Protista,Ochrophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,Skeletonema costatum,producer,NA,alive,NA,ectotherm,,,,
1076,434,MTD114,Phaeodactylum tricornutum,diatom,species,Protista,Heterokontophyta,Bacillariophyceae,Naviculales,Phaeodactylaceae,Phaeodactylum,Phaeodactylum tricornutum,producer,NA,alive,NA,ectotherm,,,,
1085,435,MTD115,Mytilus trossulus,bay mussel,species,Animalia,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,Mytilus trossulus,omnivore,NA,alive,adult,ectotherm,,,,
1087,436,MTD116,Pseudopleuronectes americanus,winter flounder,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pseudopleuronectes,Pseudopleuronectes americanus,carnivore,NA,alive,juvenile,ectotherm,,,,
1089,437,MTD117,Pseudopleuronectes americanus,winter flounder,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pseudopleuronectes,Pseudopleuronectes americanus,carnivore,NA,alive,juvenile,ectotherm,,,,
1091,438,MTD118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
1098,439,MTD119,Cerastoderma edule,common cockle,species,Animalia,Mollusca,Bivalvia,Veneroida,Cardiidae,Cerastoderma,Cerastoderma edule,omnivore,NA,alive,adult,ectotherm,,,,
1115,440,MTD120,Rhodomonas spp.,cryptomonad algae,genus,Protista,Cryptophyta,Cryptophyceae,Pyrenomonadales,Pyrenomonadaceae,Rhodomonas,NA,producer,NA,alive,NA,ectotherm,,,,
1139,442,MTD121,polymer microspheres,polymer microspheres,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,artificial,NA,NA,,,,
1141,443,MTD122,Rhodomonas spp.,cryptomonad algae,genus,Protista,Cryptophyta,Cryptophyceae,Pyrenomonadales,Pyrenomonadaceae,Rhodomonas,NA,producer,NA,alive,NA,ectotherm,,,,
1159,444,MTD123,Mytilus edulis,blue mussel,species,Animalia,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,Mytilus edulis,omnivore,NA,alive,adult,ectotherm,,,,
1162,445,MTD124,Calanus finmarchicus,calanoid copepod,species,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus,Calanus finmarchicus,self,http://www.answers.com/topic/calanus-finmarchicus,alive,egg,ectotherm,,,,
1164,446,MTD125,Calanus finmarchicus,calanoid copepod,species,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus,Calanus finmarchicus,self,http://www.answers.com/topic/calanus-finmarchicus,alive,egg,ectotherm,,,,
1166,447,MTD126,Calanus finmarchicus,calanoid copepod,species,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus,Calanus finmarchicus,self,http://www.answers.com/topic/calanus-finmarchicus,alive,egg,ectotherm,,,,
1168,448,MTD127,Calanus finmarchicus,calanoid copepod,species,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus,Calanus finmarchicus,self,http://www.answers.com/topic/calanus-finmarchicus,alive,egg,ectotherm,,,,
1170,449,MTD128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
1173,450,MTD129,Pseudopleuronectes americanus,winter flounder,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pseudopleuronectes,Pseudopleuronectes americanus,carnivore,NA,alive,juvenile,ectotherm,,,,
1175,451,MTD130,Pseudopleuronectes americanus,winter flounder,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pseudopleuronectes,Pseudopleuronectes americanus,carnivore,NA,alive,juvenile,ectotherm,,,,
1177,452,MTD131,Pseudopleuronectes americanus,winter flounder,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pseudopleuronectes,Pseudopleuronectes americanus,carnivore,NA,alive,juvenile,ectotherm,,,,
1179,453,MTD132,Pseudopleuronectes americanus,winter flounder,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pseudopleuronectes,Pseudopleuronectes americanus,carnivore,NA,alive,juvenile,ectotherm,,,,
1181,454,MTD133,Pseudopleuronectes americanus,winter flounder,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pseudopleuronectes,Pseudopleuronectes americanus,carnivore,NA,alive,juvenile,ectotherm,,,,
1183,455,MTD134,Pseudopleuronectes americanus,winter flounder,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pseudopleuronectes,Pseudopleuronectes americanus,carnivore,NA,alive,juvenile,ectotherm,,,,
1185,456,MTD135,dead squid,dead squid,order,Animalia,Mollusca,Cephalopoda,Teuthida,NA,NA,NA,NA,NA,dead,adult,ectotherm,,,,
1209,457,MTD136,Crassostrea virginica,eastern oyster,species,Animalia,Mollusca,Bivalvia,Ostreoida,Ostreidae,Crassostrea,Crassostrea virginica,omnivore,NA,alive,juvenile,ectotherm,,,,
1221,461,MTD137,Mytilus edulis,blue mussel,species,Animalia,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,Mytilus edulis,omnivore,NA,alive,juvenile,ectotherm,,,,
