title,taxon,sample_start_date,sample_start_time,sample_end_date,sample_end_time,value,sample_location_info,sample_lat_DD,sample_long_DD,sample_info,sample_name,sample_sex,location_description,location_environment,study_lat_DD,study_long_DD,spatial_accuracy,location_extent,geo_datum,species_id_method,study_design,sampling_strategy,sampling_method,sampling_protocol,measurement_unit,study_collection_area,value_transform
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-05-29,,2012-05-30,,3,Manatee HS,27.48887,-82.59214,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-05-29,,2012-05-30,,18,Fulwood,27.475085,-82.551283,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-05-29,,2012-05-30,,1,Samoset,27.46947,-82.52402,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-05-29,,2012-05-30,,1,Mullins,27.439449,-82.548928,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-05-29,,2012-05-30,,1,South 675,27.40779,-82.304,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-05-29,,2012-05-30,,4,Myakka,27.349733,-82.157581,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-05-29,,2012-05-30,,3,Wauchula Rd.,27.426958,-82.133258,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-05-29,,2012-05-30,,3,Palmetto Ball Park,27.531,-82.58235,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-05-29,,2012-05-30,,1,Lloyd Park,27.489937,-82.533814,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-05-30,,2012-05-31,,12,Fulwood,27.475085,-82.551283,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-05-31,,2012-06-01,,14,Fulwood,27.475085,-82.551283,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-05-31,,2012-06-01,,1,Parrish/Britt Rd.,27.564967,-82.424886,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-04,,2012-06-05,,3,Church,27.600978,-82.529357,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-04,,2012-06-05,,3,Fielding,27.529167,-82.588117,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-04,,2012-06-05,,2,Highland Shores,27.516317,-82.537735,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-04,,2012-06-05,,3,Carrs,27.554018,-82.545481,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-04,,2012-06-05,,5,Manatee HS,27.48887,-82.59214,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-04,,2012-06-05,,3,St Stephens,27.499288,-82.600544,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-04,,2012-06-05,,12,Fulwood,27.475085,-82.551283,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-04,,2012-06-05,,3,Samoset,27.46947,-82.52402,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-04,,2012-06-05,,1,Mullins,27.439449,-82.548928,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-04,,2012-06-05,,1,Tallevast,27.4266,-82.52471,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-04,,2012-06-05,,2,Magnolia Manor,27.481256,-82.48042,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-04,,2012-06-05,,1,Race Track,27.474551,-82.324001,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-04,,2012-06-05,,3,South 675,27.40779,-82.304,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-04,,2012-06-05,,1,Wauchula Rd.,27.426958,-82.133258,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-04,,2012-06-05,,1,Erie Rd.,27.574079,-82.5041,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-04,,2012-06-05,,4,Thousand Oaks,27.564989,-82.480332,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-04,,2012-06-05,,1,Parrish,27.57484,-82.419638,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-04,,2012-06-05,,1,Parrish/Britt Rd.,27.564967,-82.424886,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-04,,2012-06-05,,13,Palmetto Ball Park,27.531,-82.58235,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-04,,2012-06-05,,1,Colonial Baptist Church,27.475697,-82.613417,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-05,,2012-06-06,,32,Fulwood,27.475085,-82.551283,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-06,,2012-06-07,,14,Fulwood,27.475085,-82.551283,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-06,,2012-06-07,,1,Parrish,27.57484,-82.419638,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-07,,2012-06-08,,3,Fulwood,27.475085,-82.551283,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-11,,2012-06-12,,2,Fielding,27.529167,-82.588117,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-11,,2012-06-12,,5,Manatee HS,27.48887,-82.59214,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-11,,2012-06-12,,2,St Stephens,27.499288,-82.600544,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-11,,2012-06-12,,38,Fulwood,27.475085,-82.551283,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-11,,2012-06-12,,6,Samoset,27.46947,-82.52402,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-11,,2012-06-12,,1,Mullins,27.439449,-82.548928,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-11,,2012-06-12,,2,Tallevast,27.4266,-82.52471,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-11,,2012-06-12,,5,Braden Pines,27.43889,-82.43865,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-11,,2012-06-12,,2,Myakka,27.349733,-82.157581,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-11,,2012-06-12,,14,Wauchula Rd.,27.426958,-82.133258,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-11,,2012-06-12,,2,Erie Rd.,27.574079,-82.5041,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-11,,2012-06-12,,43,Bunker Hill Church,27.591467,-82.19985,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-11,,2012-06-12,,14,Palmetto Ball Park,27.531,-82.58235,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-11,,2012-06-12,,2,Lloyd Park,27.489937,-82.533814,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-12,,2012-06-13,,11,Fulwood,27.475085,-82.551283,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-12,,2012-06-13,,6,Parrish,27.57505,-82.419667,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-13,,2012-06-14,,7,Fulwood,27.475085,-82.551283,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-14,,2012-06-15,,25,Fulwood,27.475085,-82.551283,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-14,,2012-06-15,,6,Parrish,27.57505,-82.419667,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-14,,2012-06-15,,1,Parrish,27.57484,-82.419638,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-18,,2012-06-19,,5,Fielding,27.529167,-82.588117,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-18,,2012-06-19,,3,Highland Shores,27.516317,-82.537735,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-18,,2012-06-19,,3,Carrs,27.554018,-82.545481,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-18,,2012-06-19,,1,Palmetto shop,27.533281,-82.565712,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-18,,2012-06-19,,9,Manatee HS,27.48887,-82.59214,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-18,,2012-06-19,,3,St Stephens,27.499288,-82.600544,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-18,,2012-06-19,,26,Fulwood,27.475085,-82.551283,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-18,,2012-06-19,,1,Mullins,27.439449,-82.548928,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-18,,2012-06-19,,2,Tallevast,27.4266,-82.52471,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-18,,2012-06-19,,10,Sandy Baptist,27.272953,-82.116503,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-18,,2012-06-19,,4,Erie Rd.,27.574079,-82.5041,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-18,,2012-06-19,,1,Thousand Oaks,27.564989,-82.480332,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-18,,2012-06-19,,3,Parrish,27.57484,-82.419638,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-18,,2012-06-19,,1,Parrish/Britt Rd.,27.564967,-82.424886,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-18,,2012-06-19,,22,Palmetto Ball Park,27.531,-82.58235,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-18,,2012-06-19,,2,Lloyd Park,27.489937,-82.533814,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-19,,2012-06-20,,2,Fulwood,27.475085,-82.551283,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-19,,2012-06-20,,2,Parrish,27.57505,-82.419667,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-19,,2012-06-20,,4,Parrish/Britt Rd.,27.564967,-82.424886,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-20,,2012-06-21,,5,Fulwood,27.475085,-82.551283,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-21,,2012-06-22,,7,Fulwood,27.475085,-82.551283,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-27,,2012-06-28,,3,Frog Creek,27.590917,-82.548,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-27,,2012-06-28,,1,Bolleteries Soccer field,27.447151,-82.62052,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-27,,2012-06-28,,12,Manatee HS,27.48887,-82.59214,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-27,,2012-06-28,,5,Waterline Rd,27.4894,-82.361667,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-27,,2012-06-28,,4,Parrish,27.57505,-82.419667,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-27,,2012-06-28,,6,Parrish/Britt Rd.,27.564967,-82.424886,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-28,,2012-06-29,,8,Manatee HS,27.48887,-82.59214,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-28,,2012-06-29,,4,Fulwood,27.475085,-82.551283,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-28,,2012-06-29,,4,Parrish,27.57505,-82.419667,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-28,,2012-06-29,,5,Parrish/Britt Rd.,27.564967,-82.424886,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-29,,2012-06-30,,16,Manatee HS,27.48887,-82.59214,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-29,,2012-06-30,,2,St Stephens,27.499288,-82.600544,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-29,,2012-06-30,,34,Fulwood,27.475085,-82.551283,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-29,,2012-06-30,,2,Colonial Baptist Church,27.475697,-82.613417,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-30,,2012-07-01,,3,Manatee HS,27.48887,-82.59214,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-30,,2012-07-01,,88,Fulwood,27.475085,-82.551283,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-30,,2012-07-01,,7,Parrish,27.57505,-82.419667,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
Manatee County Monitoring Aedes aegypti,Aedes aegypti,2012-06-30,,2012-07-01,,7,Parrish,27.57484,-82.419638,adult,,female,Manatee County,,,,,,,SPECIES_MORPHO,,,"LIGHT,CO2",CDC_LIGHT,individuals,,
