Date,CupID,Herbivore_Common,Herbivore_Scientific,Food_Type,Trial_Time_Days,Temperature,Herb_PreMass,Control_Pre,Treat_Pre,Control_Post,Treat_Post,ConsumpControl,MassCorrConsumpControl,ConsumpTreat,MassCorrConsumpTreat,Comments,,,
8/7/12,j57,Japanese Beetles,Popillia japonica,Wineberry,1,33,0.074,0.375,0.369,0.371,0.432,0.004,0.054054054,-0.063,-0.851351351,,,,
8/7/12,j50,Japanese Beetles,Popillia japonica,Wineberry,1,33,0.079,0.381,0.332,0.381,0.284,0,0,0.048,0.607594937,,,,
8/8/12,40,Japanese Beetles,Popillia japonica,Sycamore,1,25,0.089,0.271,0.283,0.246,0.281,0.025,0.280898876,0.002,0.02247191,,,,
8/8/12,80,Japanese Beetles,Popillia japonica,Sycamore,1,25,0.085,0.308,0.302,0.312,0.303,-0.004,-0.047058824,-0.001,-0.011764706,DEAD,,,
8/8/12,11,Japanese Beetles,Popillia japonica,Sycamore,1,25,0.097,0.312,0.326,0.315,0.271,-0.003,-0.030927835,0.055,0.567010309,,,,
8/8/12,72,Japanese Beetles,Popillia japonica,Sycamore,1,25,0.134,0.291,0.327,0.264,0.322,0.027,0.201492537,0.005,0.037313433,,,,
8/8/12,38,Japanese Beetles,Popillia japonica,Sycamore,1,25,0.097,0.341,0.368,0.356,0.267,-0.015,-0.154639175,0.101,1.041237113,,,,
8/8/12,76,Japanese Beetles,Popillia japonica,Sycamore,1,25,0.089,0.368,0.423,0.378,0.402,-0.01,-0.112359551,0.021,0.235955056,,,,
8/8/12,26,Japanese Beetles,Popillia japonica,Sycamore,1,25,0.183,0.326,0.421,0.319,0.42,0.007,0.038251366,0.001,0.005464481,,,,
8/8/12,47,Japanese Beetles,Popillia japonica,Sycamore,1,25,0.119,0.391,0.424,0.335,0.421,0.056,0.470588235,0.003,0.025210084,,,,
8/8/12,48,Japanese Beetles,Popillia japonica,Sycamore,1,33,0.081,0.443,0.482,0.451,0.476,-0.008,-0.098765432,0.006,0.074074074,DEAD,,,
8/8/12,46,Japanese Beetles,Popillia japonica,Sycamore,1,33,0.081,0.489,0.403,0.499,0.41,-0.01,-0.12345679,-0.007,-0.086419753,DEAD,,,
8/8/12,25,Japanese Beetles,Popillia japonica,Sycamore,1,33,0.122,0.509,0.482,0.454,0.446,0.055,0.450819672,0.036,0.295081967,,,,
8/8/12,19,Japanese Beetles,Popillia japonica,Sycamore,1,33,0.089,0.497,0.43,0.27,0.422,0.227,2.550561798,0.008,0.08988764,,,,
8/8/12,44,Japanese Beetles,Popillia japonica,Sycamore,1,33,0.109,0.547,0.409,0.5,0.408,0.047,0.431192661,0.001,0.009174312,,,,
8/8/12,37,Japanese Beetles,Popillia japonica,Sycamore,1,33,0.108,0.433,0.39,0.229,0.393,0.204,1.888888889,-0.003,-0.027777778,,,,
8/8/12,43,Japanese Beetles,Popillia japonica,Sycamore,1,33,0.086,0.43,0.404,0.423,0.298,0.007,0.081395349,0.106,1.23255814,,,,
8/8/12,22,Japanese Beetles,Popillia japonica,Sycamore,1,33,0.113,0.495,0.379,0.511,0.313,-0.016,-0.14159292,0.066,0.584070796,,,,
8/9/12,9,Japanese Beetles,Popillia japonica,Sweetgum,1,25,0.094,0.282,0.38,0.288,0.365,-0.006,-0.063829787,0.015,0.159574468,,,,
8/9/12,57,Japanese Beetles,Popillia japonica,Sweetgum,1,25,0.085,0.344,0.351,0.374,0.258,-0.03,-0.352941176,0.093,1.094117647,,,,
8/9/12,29,Japanese Beetles,Popillia japonica,Sweetgum,1,25,0.109,0.308,0.309,0.156,0.304,0.152,1.394495413,0.005,0.04587156,,,,
8/9/12,21,Japanese Beetles,Popillia japonica,Sweetgum,1,25,0.132,0.385,0.33,0.236,0.305,0.149,1.128787879,0.025,0.189393939,,,,
8/9/12,31,Japanese Beetles,Popillia japonica,Sweetgum,1,25,0.129,0.444,0.287,0.455,0.147,-0.011,-0.085271318,0.14,1.085271318,,,,
8/9/12,71,Japanese Beetles,Popillia japonica,Sweetgum,1,25,0.101,0.414,0.397,0.419,0.387,-0.005,-0.04950495,0.01,0.099009901,,,,
8/9/12,34,Japanese Beetles,Popillia japonica,Sweetgum,1,25,0.087,0.448,0.334,0.314,0.331,0.134,1.540229885,0.003,0.034482759,,,,
8/9/12,63,Japanese Beetles,Popillia japonica,Sweetgum,1,25,0.078,0.375,0.364,0.382,0.364,-0.007,-0.08974359,0,0,DEAD,,,
8/9/12,10,Japanese Beetles,Popillia japonica,Sweetgum,1,33,0.135,0.444,0.342,0.333,0.325,0.111,0.822222222,0.017,0.125925926,,,,
8/9/12,69,Japanese Beetles,Popillia japonica,Sweetgum,1,33,0.09,0.452,0.391,0.446,0.195,0.006,0.066666667,0.196,2.177777778,,,,
8/9/12,56,Japanese Beetles,Popillia japonica,Sweetgum,1,33,0.095,0.453,0.329,0.313,0.315,0.14,1.473684211,0.014,0.147368421,,,,
8/9/12,16,Japanese Beetles,Popillia japonica,Sweetgum,1,33,0.092,0.388,0.39,0.373,0.385,0.015,0.163043478,0.005,0.054347826,,,,
8/9/12,50,Japanese Beetles,Popillia japonica,Sweetgum,1,33,0.103,0.345,0.383,0.248,0.288,0.097,0.941747573,0.095,0.922330097,Dried/not eaten,,,
8/9/12,13,Japanese Beetles,Popillia japonica,Sweetgum,1,33,0.112,0.357,0.4,0.325,0.398,0.032,0.285714286,0.002,0.017857143,,,,
8/9/12,15,Japanese Beetles,Popillia japonica,Sweetgum,1,33,0.083,0.336,0.352,0.269,0.346,0.067,0.807228916,0.006,0.072289157,,,,
8/9/12,7,Japanese Beetles,Popillia japonica,Sweetgum,1,33,0.105,0.34,0.35,0.301,0.269,0.039,0.371428571,0.081,0.771428571,,,,
8/10/12,j59,Japanese Beetles,Popillia japonica,Blackberry,1,25,0.093,0.348,0.327,0.348,0.312,0,0,0.015,0.161290323,,,,
8/10/12,j56,Japanese Beetles,Popillia japonica,Blackberry,1,25,0.111,0.351,0.35,0.362,0.32,-0.011,-0.099099099,0.03,0.27027027,,,,
8/10/12,j45,Japanese Beetles,Popillia japonica,Blackberry,1,25,0.113,0.334,0.337,0.305,0.322,0.029,0.256637168,0.015,0.132743363,,,,
8/10/12,j41,Japanese Beetles,Popillia japonica,Blackberry,1,25,0.138,0.378,0.419,0.291,0.39,0.087,0.630434783,0.029,0.210144928,,,,
8/10/12,j75,Japanese Beetles,Popillia japonica,Blackberry,1,25,0.09,0.351,0.328,0.348,0.319,0.003,0.033333333,0.009,0.1,,,,
8/10/12,j39,Japanese Beetles,Popillia japonica,Blackberry,1,25,0.091,0.363,0.375,0.356,0.329,0.007,0.076923077,0.046,0.505494505,,,,
8/10/12,j77,Japanese Beetles,Popillia japonica,Blackberry,1,25,0.083,0.373,0.385,0.381,0.346,-0.008,-0.096385542,0.039,0.469879518,,,,
8/10/12,j76,Japanese Beetles,Popillia japonica,Blackberry,1,25,0.094,0.356,0.363,0.351,0.336,0.005,0.053191489,0.027,0.287234043,,,,
8/10/12,j37,Japanese Beetles,Popillia japonica,Blackberry,1,33,0.073,0.358,0.382,0.278,0.384,0.08,1.095890411,-0.002,-0.02739726,,,,
8/10/12,j46,Japanese Beetles,Popillia japonica,Blackberry,1,33,0.083,0.405,0.34,0.332,0.336,0.073,0.879518072,0.004,0.048192771,,,,
8/10/12,j43,Japanese Beetles,Popillia japonica,Blackberry,1,33,0.093,0.354,0.376,0.357,0.374,-0.003,-0.032258065,0.002,0.021505376,DEAD,,,
8/10/12,j57,Japanese Beetles,Popillia japonica,Blackberry,1,33,0.076,0.408,0.426,0.352,0.405,0.056,0.736842105,0.021,0.276315789,,,,
8/10/12,j42,Japanese Beetles,Popillia japonica,Blackberry,1,33,0.142,0.367,0.36,0.374,0.284,-0.007,-0.049295775,0.076,0.535211268,,,,
8/10/12,j21,Japanese Beetles,Popillia japonica,Blackberry,1,33,0.115,0.388,0.366,0.336,0.283,0.052,0.452173913,0.083,0.72173913,,,,
8/10/12,j53,Japanese Beetles,Popillia japonica,Blackberry,1,33,0.111,0.342,0.363,0.317,0.248,0.025,0.225225225,0.115,1.036036036,,,,
8/10/12,j54,Japanese Beetles,Popillia japonica,Blackberry,1,33,0.108,0.289,0.382,0.288,0.356,0.001,0.009259259,0.026,0.240740741,DEAD,,,
8/11/12,j29,Japanese Beetles,Popillia japonica,Vitis,1,25,0.093,0.264,0.267,0.225,0.264,0.039,0.419354839,0.003,0.032258065,,,,
8/11/12,j22,Japanese Beetles,Popillia japonica,Vitis,1,25,0.149,0.225,0.28,0.042,0.162,0.183,1.228187919,0.118,0.791946309,,,,
8/11/12,j24,Japanese Beetles,Popillia japonica,Vitis,1,25,0.073,0.259,0.324,0.255,0.321,0.004,0.054794521,0.003,0.04109589,DEAD,,,
8/11/12,j33,Japanese Beetles,Popillia japonica,Vitis,1,25,0.126,0.274,0.316,0.273,0.181,0.001,0.007936508,0.135,1.071428571,,,,
8/11/12,j69,Japanese Beetles,Popillia japonica,Vitis,1,25,0.127,0.26,0.311,0.265,0.278,-0.005,-0.039370079,0.033,0.25984252,,,,
8/11/12,j3,Japanese Beetles,Popillia japonica,Vitis,1,25,0.125,0.26,0.302,0.258,0.299,0.002,0.016,0.003,0.024,Did not eat,,,
8/11/12,j10,Japanese Beetles,Popillia japonica,Vitis,1,25,0.081,0.284,0.334,0.289,0.271,-0.005,-0.061728395,0.063,0.777777778,,,,
8/11/12,j32,Japanese Beetles,Popillia japonica,Vitis,1,25,0.11,0.27,0.282,0.281,0.255,-0.011,-0.1,0.027,0.245454545,,,,
8/11/12,j20,Japanese Beetles,Popillia japonica,Vitis,1,33,0.079,0.313,0.332,0.326,0.332,-0.013,-0.164556962,0,0,,,,
8/11/12,j11,Japanese Beetles,Popillia japonica,Vitis,1,33,0.102,0.252,0.343,0.259,0.175,-0.007,-0.068627451,0.168,1.647058824,,,,
8/11/12,j31,Japanese Beetles,Popillia japonica,Vitis,1,33,0.09,0.28,0.343,0.249,0.33,0.031,0.344444444,0.013,0.144444444,,,,
8/11/12,j13,Japanese Beetles,Popillia japonica,Vitis,1,33,0.092,0.274,0.272,0.288,0.184,-0.014,-0.152173913,0.088,0.956521739,,,,
8/11/12,j8,Japanese Beetles,Popillia japonica,Vitis,1,33,0.111,0.278,0.336,0.228,0.339,0.05,0.45045045,-0.003,-0.027027027,,,,
8/11/12,j2,Japanese Beetles,Popillia japonica,Vitis,1,33,0.078,0.284,0.319,0.282,0.182,0.002,0.025641026,0.137,1.756410256,,,,
8/11/12,j27,Japanese Beetles,Popillia japonica,Vitis,1,33,0.131,0.24,0.313,0.248,0.058,-0.008,-0.061068702,0.255,1.946564885,,,,
8/11/12,j4,Japanese Beetles,Popillia japonica,Vitis,1,33,0.089,0.266,0.318,0.275,0.32,-0.009,-0.101123596,-0.002,-0.02247191,,,,
8/11/12,j65,Japanese Beetles,Popillia japonica,Red Maple,1,25,0.154,0.321,0.33,0.319,0.32,0.002,0.012987013,0.01,0.064935065,,,,
8/11/12,j66,Japanese Beetles,Popillia japonica,Red Maple,1,25,0.123,0.396,0.313,0.385,0.302,0.011,0.089430894,0.011,0.089430894,,,,
8/11/12,j67,Japanese Beetles,Popillia japonica,Red Maple,1,25,0.137,0.309,0.313,0.081,0.221,0.228,1.664233577,0.092,0.671532847,,,,
8/11/12,j68,Japanese Beetles,Popillia japonica,Red Maple,1,25,0.136,0.319,0.279,0.153,0.253,0.166,1.220588235,0.026,0.191176471,,,,
8/11/12,j70,Japanese Beetles,Popillia japonica,Red Maple,1,25,0.121,0.339,0.342,0.332,0.33,0.007,0.05785124,0.012,0.099173554,,,,
8/11/12,j71,Japanese Beetles,Popillia japonica,Red Maple,1,25,0.087,0.321,0.301,0.321,0.29,0,0,0.011,0.126436782,,,,
8/11/12,j72,Japanese Beetles,Popillia japonica,Red Maple,1,25,0.095,0.326,0.323,0.327,0.309,-0.001,-0.010526316,0.014,0.147368421,,,,
8/11/12,j73,Japanese Beetles,Popillia japonica,Red Maple,1,25,0.098,0.288,0.371,0.291,0.359,-0.003,-0.030612245,0.012,0.12244898,,,,
8/11/12,j74,Japanese Beetles,Popillia japonica,Red Maple,1,33,0.104,0.279,0.287,0.179,0.135,0.1,0.961538462,0.152,1.461538462,,,,
8/11/12,j78,Japanese Beetles,Popillia japonica,Red Maple,1,33,0.067,0.303,0.322,0.251,0.313,0.052,0.776119403,0.009,0.134328358,,,,
8/11/12,j79,Japanese Beetles,Popillia japonica,Red Maple,1,33,0.089,0.311,0.351,0.267,0.339,0.044,0.494382022,0.012,0.134831461,,,,
8/11/12,j80,Japanese Beetles,Popillia japonica,Red Maple,1,33,0.101,0.326,0.311,0.134,0.304,0.192,1.900990099,0.007,0.069306931,,,,
8/11/12,j81,Japanese Beetles,Popillia japonica,Red Maple,1,33,0.076,0.303,0.34,0.286,0.331,0.017,0.223684211,0.009,0.118421053,,,,
8/11/12,j82,Japanese Beetles,Popillia japonica,Red Maple,1,33,0.11,0.303,0.324,0.305,0.273,-0.002,-0.018181818,0.051,0.463636364,,,,
8/11/12,j83,Japanese Beetles,Popillia japonica,Red Maple,1,33,0.094,0.355,0.35,0.312,0.334,0.043,0.457446809,0.016,0.170212766,,,,
8/11/12,j84,Japanese Beetles,Popillia japonica,Red Maple,1,33,0.09,0.309,0.335,0.274,0.335,0.035,0.388888889,0,0,,,,
8/11/12,j38,Japanese Beetles,Popillia japonica,Box Elder,1,25,0.083,0.349,0.3,0.318,0.284,0.031,0.373493976,0.016,0.192771084,,,,
8/11/12,j40,Japanese Beetles,Popillia japonica,Box Elder,1,25,0.137,0.373,0.291,0.352,0.281,0.021,0.153284672,0.01,0.072992701,,,,
8/11/12,j44,Japanese Beetles,Popillia japonica,Box Elder,1,25,0.065,0.407,0.326,0.393,0.31,0.014,0.215384615,0.016,0.246153846,DEAD,,,
8/11/12,j47,Japanese Beetles,Popillia japonica,Box Elder,1,25,0.109,0.28,0.255,0.264,0.253,0.016,0.146788991,0.002,0.018348624,,,,
8/11/12,j48,Japanese Beetles,Popillia japonica,Box Elder,1,25,0.08,0.381,0.353,0.358,0.346,0.023,0.2875,0.007,0.0875,,,,
8/11/12,j49,Japanese Beetles,Popillia japonica,Box Elder,1,25,0.088,0.377,0.28,0.365,0.276,0.012,0.136363636,0.004,0.045454545,,,,
8/11/12,j50,Japanese Beetles,Popillia japonica,Box Elder,1,25,0.067,0.338,0.278,0.334,0.265,0.004,0.059701493,0.013,0.194029851,,,,
8/11/12,j51,Japanese Beetles,Popillia japonica,Box Elder,1,25,0.099,0.419,0.307,0.412,0.311,0.007,0.070707071,-0.004,-0.04040404,,,,
8/11/12,j52,Japanese Beetles,Popillia japonica,Box Elder,1,33,0.098,0.308,0.293,0.21,0.275,0.098,1,0.018,0.183673469,,,,
8/11/12,j55,Japanese Beetles,Popillia japonica,Box Elder,1,33,0.121,0.361,0.3,0.352,0.249,0.009,0.074380165,0.051,0.421487603,,,,
8/11/12,j58,Japanese Beetles,Popillia japonica,Box Elder,1,33,0.091,0.342,0.333,0.336,0.337,0.006,0.065934066,-0.004,-0.043956044,DEAD,,,
8/11/12,j60,Japanese Beetles,Popillia japonica,Box Elder,1,33,0.077,0.38,0.311,0.303,0.311,0.077,1,0,0,,,,
8/11/12,j61,Japanese Beetles,Popillia japonica,Box Elder,1,33,0.072,0.36,0.326,0.263,0.329,0.097,1.347222222,-0.003,-0.041666667,,,,
8/11/12,j62,Japanese Beetles,Popillia japonica,Box Elder,1,33,0.075,0.324,0.326,0.323,0.322,0.001,0.013333333,0.004,0.053333333,,,,
8/11/12,j63,Japanese Beetles,Popillia japonica,Box Elder,1,33,0.096,0.388,0.313,0.385,0.235,0.003,0.03125,0.078,0.8125,,,,
8/11/12,j64,Japanese Beetles,Popillia japonica,Box Elder,1,33,0.084,0.339,0.302,0.204,0.309,0.135,1.607142857,-0.007,-0.083333333,,,,
8/12/12,j1,Japanese Beetles,Popillia japonica,Rosa,1,25,0.096,0.27,0.288,0.236,0.282,0.034,0.354166667,0.006,0.0625,,,,
8/12/12,j2,Japanese Beetles,Popillia japonica,Rosa,1,25,0.087,0.277,0.239,0.281,0.061,-0.004,-0.045977011,0.178,2.045977011,,,,
8/12/12,j3,Japanese Beetles,Popillia japonica,Rosa,1,25,0.12,0.275,0.304,0.272,0.177,0.003,0.025,0.127,1.058333333,,,,
8/12/12,j4,Japanese Beetles,Popillia japonica,Rosa,1,25,0.114,0.263,0.249,0.182,0.25,0.081,0.710526316,-0.001,-0.00877193,,,,
8/12/12,j5,Japanese Beetles,Popillia japonica,Rosa,1,25,0.092,0.314,0.275,0.319,0.169,-0.005,-0.054347826,0.106,1.152173913,,,,
8/12/12,j6,Japanese Beetles,Popillia japonica,Rosa,1,25,0.138,0.294,0.3,0.303,0.222,-0.009,-0.065217391,0.078,0.565217391,,,,
8/12/12,j7,Japanese Beetles,Popillia japonica,Rosa,1,25,0.088,0.269,0.258,0.23,0.266,0.039,0.443181818,-0.008,-0.090909091,,,,
8/12/12,j8,Japanese Beetles,Popillia japonica,Rosa,1,25,0.088,0.351,0.311,0.221,0.32,0.13,1.477272727,-0.009,-0.102272727,,,,
8/12/12,j9,Japanese Beetles,Popillia japonica,Rosa,1,33,0.073,0.313,0.253,0.394,0.158,-0.081,-1.109589041,0.095,1.301369863,,,,
8/12/12,j10,Japanese Beetles,Popillia japonica,Rosa,1,33,0.093,0.295,0.283,0.265,0.078,0.03,0.322580645,0.205,2.204301075,,,,
8/12/12,j11,Japanese Beetles,Popillia japonica,Rosa,1,33,0.093,0.312,0.295,0.226,0.188,0.086,0.924731183,0.107,1.150537634,,,,
8/12/12,j12,Japanese Beetles,Popillia japonica,Rosa,1,33,0.071,0.281,0.299,0.26,0.202,0.021,0.295774648,0.097,1.366197183,,,,
8/12/12,j13,Japanese Beetles,Popillia japonica,Rosa,1,33,0.073,0.316,0.309,0.297,0.236,0.019,0.260273973,0.073,1,,,,
8/12/12,j14,Japanese Beetles,Popillia japonica,Rosa,1,33,0.125,0.304,0.293,0.316,0.201,-0.012,-0.096,0.092,0.736,,,,
8/12/12,j15,Japanese Beetles,Popillia japonica,Rosa,1,33,0.081,0.309,0.299,0.322,0.175,-0.013,-0.160493827,0.124,1.530864198,,,,
8/12/12,j17,Japanese Beetles,Popillia japonica,Rosa,1,33,0.075,0.316,0.314,0.308,0.328,0.008,0.106666667,-0.014,-0.186666667,DEAD,,,
8/13/12,j18,Japanese Beetles,Popillia japonica,Viburnum,1,25,0.088,0.34,0.306,0.328,0.28,0.012,0.136363636,0.026,0.295454545,,,,
8/13/12,j19,Japanese Beetles,Popillia japonica,Viburnum,1,25,0.093,0.297,0.283,0.298,0.282,-0.001,-0.010752688,0.001,0.010752688,,,,
8/13/12,j20,Japanese Beetles,Popillia japonica,Viburnum,1,25,0.075,0.3,0.318,0.283,0.32,0.017,0.226666667,-0.002,-0.026666667,,,,
8/13/12,j21,Japanese Beetles,Popillia japonica,Viburnum,1,25,0.107,0.297,0.343,0.306,0.341,-0.009,-0.08411215,0.002,0.018691589,,,,
8/13/12,j22,Japanese Beetles,Popillia japonica,Viburnum,1,25,0.091,0.322,0.323,0.333,0.323,-0.011,-0.120879121,0,0,,,,
8/13/12,j23,Japanese Beetles,Popillia japonica,Viburnum,1,25,0.119,0.303,0.339,0.314,0.34,-0.011,-0.092436975,-0.001,-0.008403361,,,,
8/13/12,j24,Japanese Beetles,Popillia japonica,Viburnum,1,25,0.093,0.277,0.325,0.285,0.331,-0.008,-0.086021505,-0.006,-0.064516129,,,,
8/13/12,j25,Japanese Beetles,Popillia japonica,Viburnum,1,25,0.078,0.331,0.331,0.348,0.327,-0.017,-0.217948718,0.004,0.051282051,,,,
8/13/12,j26,Japanese Beetles,Popillia japonica,Viburnum,1,33,0.139,0.288,0.392,0.303,0.361,-0.015,-0.107913669,0.031,0.223021583,,,,
8/13/12,j27,Japanese Beetles,Popillia japonica,Viburnum,1,33,0.15,0.269,0.329,0.236,0.343,0.033,0.22,-0.014,-0.093333333,,,,
8/13/12,j28,Japanese Beetles,Popillia japonica,Viburnum,1,33,0.094,0.308,0.269,0.324,0.272,-0.016,-0.170212766,-0.003,-0.031914894,DEAD,,,
8/13/12,j29,Japanese Beetles,Popillia japonica,Viburnum,1,33,0.078,0.272,0.373,0.283,0.37,-0.011,-0.141025641,0.003,0.038461538,,,,
8/13/12,j30,Japanese Beetles,Popillia japonica,Viburnum,1,33,0.09,0.296,0.29,0.213,0.303,0.083,0.922222222,-0.013,-0.144444444,,,,
8/13/12,j31,Japanese Beetles,Popillia japonica,Viburnum,1,33,0.078,0.301,0.28,0.328,0.166,-0.027,-0.346153846,0.114,1.461538462,,,,
8/13/12,j32,Japanese Beetles,Popillia japonica,Viburnum,1,33,0.08,0.262,0.366,0.277,0.381,-0.015,-0.1875,-0.015,-0.1875,DEAD,,,
8/13/12,j33,Japanese Beetles,Popillia japonica,Viburnum,1,33,0.093,0.293,0.296,0.194,0.308,0.099,1.064516129,-0.012,-0.129032258,,,,
