Species,Common name,Class,Order,M g,FMR kJ day-1
Macropus giganteus,Eastern grey kangaroo,Mammalia,Diprotodontia,44500,8670
Callorhinus ursinus,Northern fur seal,Mammalia,Carnivora,51100,36100
Zalophus californianus,California sea lion,Mammalia,Carnivora,78000,38600
Neophoca cinerea,Australian sea lion,Mammalia,Carnivora,83500,39500
Phoca vitulina,Common seal,Mammalia,Carnivora,99000,52500
Archilochus alexandri,Black-chinned hummingbird,Aves,Apodiformes,3.7,29.1
Calypte anna,Anna's hummingbird,Aves,Apodiformes,4.5,31.8
Thalurania colombica,Crowned woodnymph,Aves,Apodiformes,4.9,37.9
Auriparus flaviceps,Verdin,Aves,Passeriformes,6.6,30
Chalybura urochrysia,Bronze-tailed plumeleteer,Aves,Apodiformes,7.2,57.9
Malurus cyaneus,Superb blue wren,Aves,Passeriformes,8.3,34.2
Lampornis clemenciae,Blue-throated hummingbird,Aves,Apodiformes,8.8,81.7
Zosterops lateralis,Grey-breasted silvereye,Aves,Passeriformes,9.5,41.7
Parus ater,Coal tit,Aves,Passeriformes,9.5,47.4
Nectarinia violacea,Orange-breasted sunbird,Aves,Passeriformes,9.5,66.2
Acanthorhynchus tenuirostris,Eastern spinebill,Aves,Passeriformes,9.7,53
Troglodytes aedon,House wren,Aves,Passeriformes,10.6,60.8
Parus cristatus,Crested tit,Aves,Passeriformes,11.1,40.6
Parus montanus,Willow tit,Aves,Passeriformes,11.4,44.1
Parus caeruleus,Blue tit,Aves,Passeriformes,11.5,64
Eremiornis carteri,Spinifexbird,Aves,Passeriformes,12,51.5
Parus cinctus,Siberian tit,Aves,Passeriformes,12.8,51.4
Ficedula hypoleuca,Pied flycatcher,Aves,Passeriformes,13.5,65.8
Riparia riparia,Sand martin,Aves,Passeriformes,14.3,81.7
Muscicapa striata,Pacific swallow,Aves,Passeriformes,14.4,52
Hirundo tahitica,Spotted flycatcher,Aves,Passeriformes,14.4,64.9
Phylidonyris pyrrhoptera,Crescent honeyeater,Aves,Passeriformes,14.6,75.9
Ficedula albicollis,Collared flytcatcher,Aves,Passeriformes,15.9,78.6
Phylidonyris novaehollandiae,New Holland honeyeater,Aves,Passeriformes,17.3,77.6
Parus major,Great tit,Aves,Passeriformes,18,97.4
Erithacus rubecula,Robin,Aves,Passeriformes,18.7,71.3
Passerculus sandwichensis,Savannah sparrow,Aves,Passeriformes,18.7,80.4
Delichon urbica,House martin,Aves,Passeriformes,19,79.8
Junco phaeonotus,Yellow-eyed junco,Aves,Passeriformes,19.5,73.8
Junco hyemalis,Dark-eyed junco,Aves,Passeriformes,19.6,76.6
Tachycineata bicolor,Tree swallow,Aves,Passeriformes,20.2,209
Hirundo rustica,Barn swallow,Aves,Passeriformes,20.4,95.8
Prunella modularis,Dunnocky,Aves,Passeriformes,21.2,86
Phainopepla nitens,Phainopepla,Aves,Passeriformes,22.7,79.1
Cormobates leucophaeus,White-throated treecreeper,Aves,Passeriformes,23.7,81.4
Oenanthe oenanthe,Northern wheatear,Aves,Passeriformes,24.3,91.4
Pyrrhula pyrrhula,Bullfinch,Aves,Passeriformes,25.1,88
Philetairus socius,Sociable weaver,Aves,Passeriformes,25.5,48.7
Sialia mexicana,Western bluebird,Aves,Passeriformes,27.4,95
Melopsittacus undulatus,Budgerigar,Aves,Psittaciformes,27.9,59.1
Miafra erythrochlamys,Dune lark,Aves,Passeriformes,28.5,64.3
Merops viridis,Blue-throated bee-eater,Aves,Coraciiformes,34.3,85.3
Oceanites oceanus,Wilson's storm-petrel,Aves,Ciconiiformes,42.3,119
Oceanodroma leucorhoa,Leach's storm-petrel,Aves,Ciconiiformes,45.9,118
Mimus polyglottos,Mockingbird,Aves,Passeriformes,47.6,121
Progne subis,Purple martin,Aves,Passeriformes,49,163
Actitis hypoleucos,Common sandpiper,Aves,Ciconiiformes,51.6,146
Calidris alba,Sanderling,Aves,Ciconiiformes,52,141
Neophema petrophila,Rock parrot,Aves,Psittaciformes,62.8,106
Cinclus cinclus,Dipper,Aves,Passeriformes,63.7,196
Charadrius hiaticula,Ringed plover,Aves,Ciconiiformes,74.8,302
Ceryle rudis,Pied kingfisher,Aves,Coraciiformes,76,210
Sturnus vulgaris,Starling,Aves,Passeriformes,78.7,269
Aethia pusilla,Least auklet,Aves,Ciconiiformes,80.3,350
Melanerpes formicivorous,Acorn woodpecker,Aves,Piciformes,82,195
Geophaps plumifera,Spinifex pigeon,Aves,Columbiformes,87,76
Turdus merula,Blackbird,Aves,Passeriformes,96,179
Sterna paradisaea,Arctic tern,Aves,Ciconiiformes,101,335
Arenaria interpres,Ruddy turnstone,Aves,Ciconiiformes,108,352
Pelecanoides georgicus,South Georgia diving petrel,Aves,Ciconiiformes,109,464
Sterna hirundo,Common tern,Aves,Ciconiiformes,127,343
Pelecanoides urinatrix,Common diving petrel,Aves,Ciconiiformes,137,557
Callipepla gambelii,Gambel's quail,Aves,Galliformes,145,90.8
Barnardius zonarius,Port Lincoln parrot,Aves,Psittaciformes,145,189
Pachyptila desolata,Antarctic prion,Aves,Ciconiiformes,149,391
Alle alle,Dovkie,Aves,Ciconiiformes,164,696
Ptychoramphus aleuticus,Cassin's auklet,Aves,Ciconiiformes,174,413
Sterna fuscata,Sooty tern,Aves,Ciconiiformes,187,241
Ammoperdix heyi,Sand partridge,Aves,Galliformes,190,148
Anous stolidus,Brown noddy,Aves,Ciconiiformes,195,352
Falco tinnunculus,Eurasian kestrel,Aves,Ciconiiformes,211,341
Cacatua rosiecapilla,Galah,Aves,Psittaciformes,307,349
Phaethon lepturus,White-tailed tropicbird,Aves,Ciconiiformes,370,777
Cepphus grylle,Black guillemot,Aves,Ciconiiformes,380,860
Puffinus pacificus,Wedge-tailed shearwater,Aves,Ciconiiformes,384,614
Rissa tridactyla,Black-legged kittiwake,Aves,Ciconiiformes,386,795
Alectoris chukar,Chukar,Aves,Galliformes,395,260
Uria lomvia,Thick-billed murre,Aves,Ciconiiformes,834,1480
Uria aalga,Guillemot,Aves,Ciconiiformes,940,1870
Eudyptula minor,Little penguin,Aves,Ciconiiformes,1050,1050
Sula sula,Red-footed booby,Aves,Ciconiiformes,1070,1220
Centrocercus urophasianus,Sage grouse,Aves,Galliformes,2500,1540
Morus capensis,Cape gannet,Aves,Ciconiiformes,2580,3380
Diomedea immutabilis,Laysan albatross,Aves,Ciconiiformes,3070,1330
Spheniscus demersus,Jackass penguin,Aves,Ciconiiformes,3170,1950
Sula bassanus,Northern gannet,Aves,Ciconiiformes,3210,4870
Diomedea chrysostoma,Grey-headed albatross,Aves,Ciconiiformes,3710,2390
Pygoscelis antarctica,Chinstrap penguin,Aves,Ciconiiformes,3790,5600
Macronectes giganteus,Giant petrel,Aves,Ciconiiformes,3890,4330
Pygoscelis adeliae,Adelie penguin,Aves,Ciconiiformes,3990,3790
Eudyptes chrysolophus,Macaroni penguin,Aves,Ciconiiformes,4270,2950
Pygoscelis papua,Gentoo penguin,Aves,Ciconiiformes,6170,4650
Diomedea exulans,Wandering albatross,Aves,Ciconiiformes,8420,3350
Aptenodytes patagonicus,King penguin,Aves,Ciconiiformes,12900,7410
Struthio camelus,Ostrich,Aves,Struthioniformes,88300,18000
Mesalina olivieri,Sand lizard,Reptilia,Squamata,1.1,0.29
Rhoptropus afer,Namib Desert gecko,Reptilia,Squamata,2.6,0.23
Urosaurus nigricaudus,Black-tailed brush lizard,Reptilia,Squamata,3.2,1.38
Uta stansburiana,Side-blotched lizard,Reptilia,Squamata,3.2,0.67
Pedioplanis lineoocellata,Spotted sand lizard,Reptilia,Squamata,3.3,0.54
Heliobolus lugubris,Bushveld lizard,Reptilia,Squamata,3.8,0.8
Meroles anchietae,Namib Desert dune lizard,Reptilia,Squamata,4,0.6
Cnemidophorus hyperythrus,Orangethroat whiptail,Reptilia,Squamata,4.3,1.13
Acanthodactylus pardalis,Sand lizard,Reptilia,Squamata,4.5,0.23
Sceloporus graciosus,Sagebrush lizard,Reptilia,Squamata,5,0.82
Sceloporus virgatus,Striped plateau lizard,Reptilia,Squamata,6.3,1.06
Callisaurus draconoides,Zebra-tailed lizard,Reptilia,Squamata,7.1,1.12
Podarcis lilfordi,Lacertid lizard,Reptilia,Squamata,7.4,1.49
Sceloporus variabilis,Rosebelly lizard,Reptilia,Squamata,7.7,1.92
Chalcides sexlineatus,Gran Canarian skink,Reptilia,Squamata,7.8,0.72
Ptyodactylus hasselquistii,Negev Desert gecko,Reptilia,Squamata,9.1,1.2
Varanus caudolineatus,Goanna/monitor lizard,Reptilia,Squamata,10.4,3
Galloti altantica,Agamid lizard,Reptilia,Squamata,11.9,1.5
Sceloporus occidentalis,Western fence lizard,Reptilia,Squamata,12.1,1.8
Cnemidophorus tigris,Western whiptail,Reptilia,Squamata,16.5,4.1
Pachydactylus bibronii,Birbon's gecko,Reptilia,Squamata,16.6,2.2
Sceloporus jarrovi,Yarrow's spiny lizard,Reptilia,Squamata,16.6,1.9
Mabuya striata,Stiped skink,Reptilia,Squamata,19.5,2.9
Thamnophis sirtalis,Common garter snake,Reptilia,Squamata,22,5.2
Phrynosoma platyrhinos,Desert horned lizard,Reptilia,Squamata,23,2.7
Elgaria multicarinatus,Southern alligator lizard,Reptilia,Squamata,25.3,2
Lacerta viridis,Common lizard,Reptilia,Squamata,25.5,5.8
Galloti galloti,Agamid lizard,Reptilia,Squamata,25.6,4.6
Microlophus albemariensis,Lava lizard,Reptilia,Squamata,28.2,3.3
Ctenophorus nuchalis,Central netted dragon,Reptilia,Squamata,36.8,9.6
Galloti stehlini,Giant agamid lizard,Reptilia,Squamata,47.3,7.9
Dipsosaurus dorsalis,Desert iguana,Reptilia,Squamata,52.5,6.5
Agama impalearis,Bibron's agama,Reptilia,Squamata,54.4,16.8
Angolosaurus skoogi,Skoog's lizard,Reptilia,Squamata,57.4,3
Varanus acanthurus,Ridge-tailed monitor,Reptilia,Squamata,60,3.7
Varanus scalaris,Goanna/monitor lizard,Reptilia,Squamata,66.4,7.8
Vipera aspis,European viper,Reptilia,Squamata,67.2,6.3
Crotalus lepidus,Mottled rock rattlesnakes,Reptilia,Squamata,109,4.7
Masticophus flagellum,Coachwhip,Reptilia,Squamata,124,11.7
Crotalus cerastes,Sidewinder,Reptilia,Squamata,129,5
Coluber constrictor,Racer,Reptilia,Squamata,132,12.8
Sauromalus obesus,Chuckwalla,Reptilia,Squamata,167,15.7
Chlamydosaurus kingii,Frillneck lizard,Reptilia,Squamata,635,52.4
Iguana iguana,Green iguana,Reptilia,Squamata,860,60.1
Tupinambis teguixin,Tegu,Reptilia,Squamata,1170,214
Varanus rosenbergi,Goanna/monitor lizard,Reptilia,Squamata,1180,100
Varanus mertensi,Merten's water monitor,Reptilia,Squamata,1210,143
Varanus gouldii,Sand monitor,Reptilia,Squamata,1320,233
Varanus panoptes,Goanna/monitor,Reptilia,Squamata,1350,180
Amblyrhynchus cristatus,Galapagos marine iguana,Reptilia,Squamata,1610,91.2
Gopherus agassizzi,Desert tortoise,Reptilia,Testudines,2120,42.9
Varanus bengalensis,Bengal monitor,Reptilia,Squamata,2560,393
Varanus salvator,Goanna/monitor lizard,Reptilia,Squamata,7530,906
varanus giganteus,Perenties,Reptilia,Squamata,7700,807
Varanus komodensis,Komodo dragon,Reptilia,Squamata,45200,2430
